date,day,actual time,to_minutes,slot,car1,bus1 ,car2,bus2,car3,bus3,car4,bus4,car5,bus5,car6,bus6,car7,bus7,car8,bus8,holiday
25/08/2017,Friday,12:04:55,724.9166667,5,11,26,27,45,53,64,19,37,21,50,37,52,48,68,30,51,Y
25/08/2017,Friday,12:12:36,732.6,5,11,35,28,45,53,53,19,37,21,46,41,52,49,68,30,51,Y
25/08/2017,Friday,12:20:16,740.2666667,5,11,26,27,55,56,59,19,37,21,50,40,52,50,65,30,51,Y
25/08/2017,Friday,12:27:57,747.95,5,10,35,27,56,59,59,20,44,21,50,36,52,49,65,32,57,Y
25/08/2017,Friday,12:35:39,755.65,5,11,26,27,57,55,64,20,44,21,50,35,52,49,59,31,62,Y
25/08/2017,Friday,12:43:22,763.3666667,5,11,26,26,51,56,64,19,37,21,46,35,52,49,59,31,62,Y
25/08/2017,Friday,12:51:02,771.0333333,5,12,26,26,51,58,63,19,37,21,46,34,52,46,59,31,62,Y
25/08/2017,Friday,12:58:50,778.8333333,5,11,35,26,52,58,59,19,44,21,46,31,52,46,59,31,61,Y
05/09/2017,Tuesday,12:05:17,725.2833333,5,11,26,26,45,56,64,21,40,21,52,44,52,53,68,37,51,Y
05/09/2017,Tuesday,12:12:58,732.9666667,5,11,35,27,45,56,53,21,40,21,48,43,52,53,68,39,51,Y
05/09/2017,Tuesday,12:20:39,740.65,5,11,26,27,55,57,59,20,40,20,52,41,52,52,65,40,51,Y
05/09/2017,Tuesday,12:28:21,748.35,5,11,35,27,56,57,59,20,46,20,52,41,52,52,65,40,57,Y
05/09/2017,Tuesday,12:36:01,756.0166667,5,10,26,27,57,55,64,20,46,20,52,41,52,50,59,41,62,Y
05/09/2017,Tuesday,12:43:42,763.7,5,10,26,29,51,54,64,26,56,25,57,40,52,49,59,41,62,Y
05/09/2017,Tuesday,12:51:23,771.3833333,5,10,26,26,51,52,63,19,40,19,48,39,52,49,59,44,62,Y
05/09/2017,Tuesday,12:59:05,779.0833333,5,11,35,27,52,52,59,20,46,19,52,39,52,51,59,46,61,Y
15/08/2017,Tuesday,12:12:12,732.2,5,11,34,27,44,46,53,19,37,21,45,24,52,44,73,34,51,Y
15/08/2017,Tuesday,12:19:56,739.9333333,5,13,25,28,54,48,59,20,37,21,45,23,52,42,73,33,51,Y
15/08/2017,Tuesday,12:27:35,747.5833333,5,11,34,28,55,51,59,19,44,21,49,23,52,42,70,32,57,Y
15/08/2017,Tuesday,12:35:18,755.3,5,12,25,27,57,50,64,19,44,21,49,23,52,40,70,32,62,Y
15/08/2017,Tuesday,12:42:57,762.95,5,12,25,26,51,48,64,19,37,21,45,23,52,43,61,32,62,Y
15/08/2017,Tuesday,12:50:36,770.6,5,11,25,28,51,46,63,19,37,20,45,24,52,40,61,31,62,Y
15/08/2017,Tuesday,12:58:16,778.2666667,5,11,34,26,52,48,59,19,44,21,45,24,52,42,61,33,61,Y
12/08/2017,Saturday,12:30:13,750.2166667,5,13,34,30,55,82,63,23,46,23,52,38,52,46,69,36,57,Y
12/08/2017,Saturday,12:37:54,757.9,5,14,25,31,51,78,64,22,46,22,47,38,52,47,70,35,62,Y
12/08/2017,Saturday,12:45:37,765.6166667,5,14,25,31,51,77,66,21,40,23,47,37,52,47,61,35,63,Y
12/08/2017,Saturday,12:53:21,773.35,5,13,25,30,55,78,63,21,46,22,47,39,52,47,61,34,62,Y
13/08/2017,Sunday,12:04:50,724.8333333,5,11,25,27,44,52,63,20,40,22,41,30,52,43,73,33,51,Y
13/08/2017,Sunday,12:12:30,732.5,5,12,34,27,44,51,53,20,40,22,47,29,52,43,73,37,51,Y
13/08/2017,Sunday,12:20:09,740.15,5,11,25,27,54,54,59,20,40,21,52,30,52,42,73,34,51,Y
13/08/2017,Sunday,12:27:52,747.8666667,5,12,34,28,55,51,59,20,44,23,49,29,52,41,70,33,57,Y
13/08/2017,Sunday,12:35:33,755.55,5,12,25,27,57,52,64,20,44,22,49,29,52,40,70,33,62,Y
13/08/2017,Sunday,12:43:11,763.1833333,5,11,25,26,51,50,64,19,37,22,45,28,52,43,61,35,62,Y
13/08/2017,Sunday,12:50:51,770.85,5,11,25,27,51,49,63,20,40,22,45,28,52,40,61,33,62,Y
13/08/2017,Sunday,12:58:30,778.5,5,11,34,27,52,47,59,19,44,22,45,26,52,40,61,32,61,Y
20/08/2017,Sunday,12:04:05,724.0833333,5,11,25,27,44,48,63,20,37,22,38,28,52,40,73,31,51,Y
20/08/2017,Sunday,12:11:48,731.8,5,13,34,27,44,47,53,20,40,21,47,28,52,42,73,31,51,Y
20/08/2017,Sunday,12:19:29,739.4833333,5,12,25,27,54,48,59,20,37,21,45,28,52,41,73,31,51,Y
20/08/2017,Sunday,12:27:12,747.2,5,12,34,26,55,48,59,20,44,23,49,29,52,41,70,32,57,Y
20/08/2017,Sunday,12:34:54,754.9,5,12,25,27,57,49,64,19,44,22,49,31,52,41,70,31,62,Y
20/08/2017,Sunday,12:42:36,762.6,5,12,25,27,51,50,64,20,44,22,45,30,52,41,61,32,62,Y
20/08/2017,Sunday,12:50:17,770.2833333,5,12,25,27,51,54,63,20,37,22,45,29,52,39,61,33,62,Y
20/08/2017,Sunday,12:57:59,777.9833333,5,12,25,26,52,53,59,20,44,22,45,28,52,38,61,31,61,Y
27/08/2017,Sunday,12:00:45,720.75,5,12,26,27,45,55,64,19,44,21,50,31,52,45,64,34,51,Y
27/08/2017,Sunday,12:08:37,728.6166667,5,11,26,28,45,55,69,19,37,21,50,31,52,45,68,37,51,Y
27/08/2017,Sunday,12:16:25,736.4166667,5,11,26,27,51,58,53,19,37,21,46,32,52,44,65,34,51,Y
27/08/2017,Sunday,12:24:04,744.0666667,5,11,26,28,56,55,59,19,44,21,50,30,52,43,65,33,51,Y
27/08/2017,Sunday,12:31:44,751.7333333,5,12,41,27,55,57,63,19,44,20,50,30,52,41,59,33,57,Y
27/08/2017,Sunday,12:39:29,759.4833333,5,12,26,27,51,60,64,19,44,21,50,31,52,40,59,34,62,Y
