date,Actual Time,to_minutes,slot,car1,car2,car3,car4,car5,car6,car7,car8,Holiday
25:42:37,20:02:22,1202.366667,13,20,44,88,60,41,58,75,56,N
25:42:37,20:08:34,1208.566667,13,19,44,88,58,39,57,75,55,N
25:42:37,20:14:44,1214.733333,13,19,43,87,57,39,54,75,55,N
25:42:37,20:21:07,1221.116667,13,18,42,86,55,39,53,75,53,N
25:42:37,20:27:18,1227.3,13,18,42,81,55,39,60,74,51,N
25:42:37,20:33:29,1233.483333,13,18,41,84,54,38,49,73,51,N
25:42:37,20:39:40,1239.666667,13,18,41,83,52,38,49,74,48,N
25:42:37,20:45:50,1245.833333,13,17,41,81,51,38,48,73,47,N
25:42:37,20:52:07,1252.116667,13,17,40,81,49,38,47,72,47,N
25:42:37,20:58:18,1258.3,13,17,40,80,47,37,48,73,47,N
18:42:37,20:01:33,1201.55,13,20,44,104,58,43,57,75,56,N
18:42:37,20:07:45,1207.75,13,19,44,103,56,41,58,75,55,N
18:42:37,20:14:00,1214,13,19,43,102,57,41,54,75,55,N
18:42:37,20:20:12,1220.2,13,18,42,86,55,42,52,75,53,N
18:42:37,20:26:24,1226.4,13,18,42,101,54,41,51,74,52,N
18:42:37,20:35:57,1235.95,13,18,42,84,53,40,50,73,50,N
18:42:37,20:42:08,1242.133333,13,17,41,83,51,40,49,74,48,N
18:42:37,20:48:20,1248.333333,13,17,40,82,50,40,47,73,47,N
18:42:37,20:54:31,1254.516667,13,17,40,81,47,40,48,74,47,N
26:42:37,20:00:44,1200.733333,13,19,45,106,56,41,62,76,56,N
26:42:37,20:06:55,1206.916667,13,22,43,85,55,41,61,76,58,N
26:42:37,20:13:10,1213.166667,13,22,42,82,58,41,59,75,57,N
26:42:37,20:19:28,1219.466667,13,19,43,80,52,41,58,74,56,N
26:42:37,20:25:42,1225.7,13,18,42,80,52,39,58,75,51,N
26:42:37,20:31:56,1231.933333,13,18,42,80,59,38,55,76,53,N
26:42:37,20:38:07,1238.116667,13,17,41,80,57,38,51,77,50,N
26:42:37,20:44:18,1244.3,13,17,40,74,57,38,49,77,48,N
26:42:37,20:50:34,1250.566667,13,17,41,78,55,38,48,75,47,N
26:42:37,20:56:43,1256.716667,13,17,40,73,53,38,48,76,47,N
19:42:37,20:08:51,1208.85,13,19,44,109,60,40,60,76,56,N
19:42:37,20:15:03,1215.05,13,19,43,102,59,43,58,76,55,N
19:42:37,20:24:43,1224.716667,13,18,43,101,56,41,56,77,53,N
19:42:37,20:31:15,1231.25,13,18,43,99,55,40,54,78,53,N
