date,Monday,actual time,to_minutes,slot,car1,bus1,car2,bus2,car3,bus3,car4,bus4,car5,bus5,car6,bus6,car7,bus7,car8,bus8,Holiday
07/08/2107,Monday,19:03:31,1143.516667,12,15,27,29,55,77,63,40,46,26,52,33,52,54,68,41,51,N
07/08/2107,Monday,19:11:13,1151.216667,12,15,25,28,51,78,64,38,46,24,52,32,52,51,68,42,51,N
07/08/2107,Monday,19:18:54,1158.9,12,14,25,28,51,77,63,36,46,26,52,32,52,52,68,44,51,N
07/08/2107,Monday,19:26:36,1166.6,12,14,25,28,55,79,63,35,46,27,52,27,52,55,90,39,60,N
07/08/2107,Monday,19:34:17,1174.283333,12,14,25,28,47,81,59,35,38,26,47,28,52,56,90,41,51,N
07/08/2107,Monday,19:41:59,1181.983333,12,13,25,28,47,83,59,36,40,26,52,28,52,53,70,39,51,N
07/08/2107,Monday,19:49:41,1189.683333,12,14,25,28,51,78,63,37,40,25,47,28,52,54,70,37,51,N
07/08/2107,Monday,19:57:23,1197.383333,12,13,25,28,55,78,68,36,48,27,47,27,52,55,70,38,51,N
