date,day,actual time,to_minutes,slot,car1,bus1 ,car2,bus2,car3,bus3,car4,bus4,car5,bus5,car6,bus6,car7,bus7,car8,bus8,holiday
25/08/2017,Friday,10:02:11,602.1833333,3,11,26,25,55,42,59,19,44,21,50,29,53,45,59,29,51,Y
25/08/2017,Friday,10:09:51,609.85,3,11,26,26,56,42,64,19,37,22,50,28,52,46,55,30,51,Y
25/08/2017,Friday,10:17:31,617.5166667,3,11,26,26,56,46,63,18,44,21,50,27,53,47,63,29,51,Y
25/08/2017,Friday,10:25:13,625.2166667,3,11,26,26,56,43,63,19,44,21,50,25,52,49,59,29,56,Y
25/08/2017,Friday,10:32:52,632.8666667,3,11,35,26,51,43,59,18,37,21,50,26,53,49,59,29,64,Y
25/08/2017,Friday,10:40:30,640.5,3,11,26,27,56,43,63,19,37,21,46,26,52,47,64,30,51,Y
25/08/2017,Friday,10:48:13,648.2166667,3,12,26,27,56,43,64,19,37,21,46,27,52,51,58,30,51,Y
25/08/2017,Friday,10:55:52,655.8666667,3,11,26,26,56,48,59,19,44,21,50,30,53,51,58,30,58,Y
05/09/2017,Tuesday,10:01:41,601.6833333,3,12,26,26,55,52,59,21,46,24,52,39,52,51,59,31,51,Y
05/09/2017,Tuesday,10:09:22,609.3666667,3,12,26,26,56,52,64,21,40,21,52,38,52,51,55,31,51,Y
05/09/2017,Tuesday,10:17:02,617.0333333,3,11,26,26,51,51,63,21,46,24,52,34,53,50,63,31,51,Y
05/09/2017,Tuesday,10:24:42,624.7,3,11,26,26,56,52,63,21,46,25,52,38,52,51,59,31,56,Y
05/09/2017,Tuesday,10:32:24,632.4,3,10,35,26,51,50,59,21,46,24,52,39,53,53,59,32,64,Y
05/09/2017,Tuesday,10:40:07,640.1166667,3,10,26,26,56,52,63,21,40,24,48,40,52,54,64,31,51,Y
05/09/2017,Tuesday,10:48:21,648.35,3,10,26,28,56,54,63,20,40,22,52,38,52,54,58,32,51,Y
05/09/2017,Tuesday,10:56:02,656.0333333,3,11,26,26,56,52,59,20,46,21,52,40,53,56,58,32,58,Y
15/08/2017,Tuesday,10:06:45,606.75,3,11,25,26,55,41,59,19,37,23,49,22,53,43,62,29,51,Y
15/08/2017,Tuesday,10:14:24,614.4,3,10,25,26,51,40,70,19,44,22,49,22,53,41,70,29,51,Y
15/08/2017,Tuesday,10:22:03,622.05,3,10,25,26,55,42,63,20,44,22,49,22,53,42,98,30,51,Y
15/08/2017,Tuesday,10:29:42,629.7,3,11,25,27,55,42,59,20,44,22,49,23,52,44,98,30,54,Y
15/08/2017,Tuesday,10:37:22,637.3666667,3,12,25,27,55,42,63,19,37,23,49,23,53,44,69,31,51,Y
15/08/2017,Tuesday,10:45:01,645.0166667,3,10,25,27,51,42,63,19,37,21,45,23,52,42,69,30,51,Y
15/08/2017,Tuesday,10:57:42,657.7,3,11,25,27,55,44,59,19,44,21,49,24,53,44,69,30,58,Y
13/08/2017,Sunday,10:03:07,603.1166667,3,10,25,25,55,42,59,18,37,20,49,22,53,40,91,30,51,Y
13/08/2017,Sunday,10:10:46,610.7666667,3,11,25,25,55,43,64,18,37,19,49,23,52,41,98,29,51,Y
13/08/2017,Sunday,10:18:26,618.4333333,3,11,25,25,55,42,63,18,44,20,49,23,52,43,98,30,51,Y
13/08/2017,Sunday,10:26:05,626.0833333,3,12,25,25,55,43,59,18,44,20,49,23,52,43,98,30,56,Y
13/08/2017,Sunday,10:33:44,633.7333333,3,10,34,25,51,45,55,19,40,20,52,23,53,47,75,29,51,Y
13/08/2017,Sunday,10:47:55,647.9166667,3,12,25,25,55,46,63,20,40,20,52,24,52,46,69,32,51,Y
13/08/2017,Sunday,10:55:34,655.5666667,3,12,25,26,55,46,59,20,46,20,52,24,53,44,69,31,58,Y
20/08/2017,Sunday,10:04:15,604.25,3,11,25,24,55,43,59,18,37,19,49,22,53,39,91,28,51,Y
20/08/2017,Sunday,10:11:59,611.9833333,3,11,25,25,51,43,64,18,37,19,49,23,52,39,98,28,51,Y
20/08/2017,Sunday,10:19:42,619.7,3,11,25,25,55,46,63,18,44,19,49,24,52,40,98,31,51,Y
20/08/2017,Sunday,10:27:23,627.3833333,3,11,25,25,55,46,59,18,44,20,49,23,52,40,98,29,56,Y
20/08/2017,Sunday,10:35:06,635.1,3,12,34,26,51,47,63,18,37,20,49,24,53,42,75,29,51,Y
20/08/2017,Sunday,10:42:54,642.9,3,11,25,26,51,47,63,18,37,20,45,24,52,41,69,29,51,Y
20/08/2017,Sunday,10:50:48,650.8,3,11,25,25,55,46,63,19,37,20,49,24,52,41,69,29,51,Y
27/08/2017,Sunday,10:06:35,606.5833333,3,10,26,25,56,43,59,18,37,19,50,22,53,43,96,29,51,Y
27/08/2017,Sunday,10:14:24,614.4,3,10,26,25,51,43,70,18,44,20,50,23,53,42,96,29,51,Y
27/08/2017,Sunday,10:22:04,622.0666667,3,11,26,26,55,43,63,18,44,19,50,23,53,42,59,30,51,Y
27/08/2017,Sunday,10:30:03,630.05,3,12,26,26,56,44,59,18,44,20,50,23,52,43,59,31,60,Y
27/08/2017,Sunday,10:40:36,640.6,3,14,26,27,56,44,63,19,37,20,46,24,52,42,68,31,51,Y
27/08/2017,Sunday,10:51:31,651.5166667,3,11,26,27,56,43,59,19,37,20,50,23,52,42,58,32,51,Y
27/08/2017,Sunday,10:59:10,659.1666667,3,11,26,26,56,45,63,18,44,20,50,26,52,46,58,32,58,Y
03/09/2017,Sunday,10:06:26,606.4333333,3,11,26,25,56,45,59,18,40,19,52,23,53,40,91,29,51,Y
03/09/2017,Sunday,10:14:07,614.1166667,3,11,26,26,51,46,70,19,46,19,52,23,53,40,96,29,51,Y
03/09/2017,Sunday,10:21:46,621.7666667,3,10,26,25,55,45,63,19,46,19,52,24,52,41,96,29,51,Y
03/09/2017,Sunday,10:29:26,629.4333333,3,10,26,25,56,44,59,19,46,19,52,24,52,44,59,29,54,Y
03/09/2017,Sunday,10:37:09,637.15,3,11,26,25,51,45,63,19,40,20,52,24,53,41,59,31,51,Y
03/09/2017,Sunday,10:44:51,644.85,3,11,26,25,51,45,63,20,40,19,48,25,52,41,58,30,51,Y
03/09/2017,Sunday,10:52:32,652.5333333,3,11,26,26,51,44,59,21,40,20,52,24,53,41,58,30,51,Y
17/09/2017,Sunday,10:56:33,656.55,3,12,22,25,44,50,64,19,40,20,43,25,53,43,94,30,58,Y
24/09/2017,Sunday,10:00:16,600.2666667,3,11,22,24,44,43,64,18,40,19,43,22,53,42,89,28,66,Y
24/09/2017,Sunday,10:07:55,607.9166667,3,10,22,25,44,44,63,19,42,19,46,22,53,45,89,27,63,Y
24/09/2017,Sunday,10:15:33,615.55,3,11,26,26,44,43,69,19,42,20,43,24,53,45,89,27,73,Y
24/09/2017,Sunday,10:23:11,623.1833333,3,10,22,25,40,42,64,18,40,19,43,24,53,46,89,29,69,Y
24/09/2017,Sunday,10:30:50,630.8333333,3,10,22,25,44,42,58,19,42,19,46,23,66,46,89,28,69,Y
24/09/2017,Sunday,10:39:04,639.0666667,3,11,22,26,44,44,69,19,42,19,46,24,53,44,89,29,74,Y
24/09/2017,Sunday,10:46:44,646.7333333,3,10,22,25,44,45,64,19,40,20,43,25,53,44,89,30,62,Y
24/09/2017,Sunday,10:56:25,656.4166667,3,11,22,26,43,44,69,20,42,20,46,26,66,48,89,29,67,Y
