date,Monday,actual time,to_minutes,slot,car1,bus1,car2,bus2,car3,bus3,car4,bus4,car5,bus5,car6,bus6,car7,bus7,car8,bus8,Holiday
07/08/2107,Monday,11:00:15,660.25,4,14,25,32,55,78,63,22,46,30,52,39,52,50,65,37,58,N
07/08/2107,Monday,11:07:56,667.9333333333,4,14,25,32,55,75,63,21,46,26,52,38,52,49,65,33,51,N
07/08/2107,Monday,11:15:35,675.5833333333,4,14,25,33,51,78,59,22,46,26,52,38,52,49,65,33,51,N
07/08/2107,Monday,11:23:17,683.2833333333,4,13,25,30,45,74,63,22,40,26,47,41,52,50,61,34,51,N
07/08/2107,Monday,11:34:11,694.1833333333,4,13,34,30,51,76,63,24,40,27,39,44,52,50,61,37,61,N
07/08/2107,Monday,11:41:52,701.8666666667,4,14,25,32,55,75,63,23,40,27,39,43,52,51,69,38,60,N
07/08/2107,Monday,11:49:33,709.55,4,13,25,30,55,78,59,22,48,30,39,42,52,51,75,36,60,N
07/08/2107,Monday,11:57:13,717.2166666667,4,13,34,30,44,75,53,23,46,29,47,45,52,51,113,37,51,N
21/08/2017,Monday,11:00:47,660.7833333333,4,20,25,31,55,80,63,44,44,43,49,42,52,49,65,34,58,N
21/08/2017,Monday,11:08:28,668.4666666667,4,22,25,31,55,82,64,43,44,42,49,41,52,49,65,33,51,N
21/08/2017,Monday,11:16:07,676.1166666667,4,20,25,31,51,82,59,43,44,43,49,35,52,51,65,32,51,N
21/08/2017,Monday,11:23:47,683.7833333333,4,19,25,31,45,83,63,44,37,42,45,34,52,49,61,33,51,N
21/08/2017,Monday,11:31:27,691.45,4,16,34,31,45,83,55,43,37,36,37,32,52,49,61,32,50,N
21/08/2017,Monday,11:39:06,699.1,4,18,34,30,55,85,63,42,37,38,49,31,52,49,69,33,61,N
21/08/2017,Monday,11:46:46,706.7666666667,4,17,25,32,55,83,63,42,44,40,37,31,52,48,75,33,60,N
21/08/2017,Monday,11:54:26,714.4333333333,4,17,25,31,51,83,59,41,44,38,45,34,52,46,113,35,51,N
28/08/2017,Monday,11:03:29,663.4833333333,4,24,26,35,52,74,63,32,44,41,50,32,52,53,58,34,51,N
28/08/2017,Monday,11:16:22,676.3666666667,4,31,26,34,51,76,59,36,44,38,50,31,52,54,56,36,51,N
28/08/2017,Monday,11:24:01,684.0166666667,4,26,26,34,45,69,63,36,37,39,46,31,52,55,56,34,51,N
28/08/2017,Monday,11:31:39,691.65,4,26,35,34,45,67,55,30,37,38,50,32,52,53,61,35,50,N
28/08/2017,Monday,11:39:22,699.3666666667,4,24,35,37,56,67,63,31,37,36,50,31,52,53,58,34,61,N
28/08/2017,Monday,11:47:05,707.0833333333,4,26,26,36,56,71,63,34,44,37,46,29,52,51,58,35,60,N
28/08/2017,Monday,11:54:45,714.75,4,26,26,36,51,72,59,36,44,35,46,31,52,54,64,35,51,N
11/09/2017,Monday,11:06:31,666.5166666667,4,22,26,31,56,68,69,22,44,38,50,40,52,53,58,33,51,N
11/09/2017,Monday,11:14:11,674.1833333333,4,22,26,31,51,67,64,23,44,33,50,37,52,52,56,38,51,N
11/09/2017,Monday,11:21:52,681.8666666667,4,23,26,33,45,71,64,22,44,33,46,35,52,51,56,35,51,N
11/09/2017,Monday,11:29:33,689.55,4,24,36,31,45,66,69,22,37,31,46,37,52,50,61,35,50,N
11/09/2017,Monday,11:37:12,697.2,4,23,35,32,56,73,69,22,37,33,50,37,52,51,58,35,61,N
11/09/2017,Monday,11:44:53,704.8833333333,4,24,26,31,56,69,69,22,44,32,46,40,52,52,58,34,60,N
11/09/2017,Monday,11:52:35,712.5833333333,4,22,26,30,51,67,64,22,44,33,46,38,52,52,58,33,51,N
18/09/2017,Monday,11:07:09,667.15,4,23,22,31,44,69,69,21,40,28,43,41,52,48,94,33,51,N
18/09/2017,Monday,11:17:13,677.2166666667,4,19,22,31,44,72,64,21,40,29,43,40,52,48,59,33,51,N
18/09/2017,Monday,11:25:02,685.0333333333,4,20,23,31,40,74,69,21,40,28,40,36,52,49,59,32,50,N
18/09/2017,Monday,11:32:53,692.8833333333,4,19,22,32,40,73,69,21,40,30,43,36,52,49,94,33,50,N
18/09/2017,Monday,11:40:48,700.8,4,18,22,30,44,73,69,21,40,31,40,36,52,51,61,34,60,N
18/09/2017,Monday,11:48:46,708.7666666667,4,18,26,30,44,76,64,21,40,30,40,33,52,52,61,32,60,N
18/09/2017,Monday,11:58:57,718.95,4,20,24,31,45,69,69,21,40,31,40,32,52,51,94,33,51,N
08/08/2017,Tuesday,11:02:43,662.7166666667,4,20,25,30,52,76,63,22,46,32,52,38,52,50,65,34,58,N
08/08/2017,Tuesday,11:10:22,670.3666666667,4,18,25,30,55,77,59,22,46,29,52,35,52,49,65,34,51,N
08/08/2017,Tuesday,11:18:01,678.0166666667,4,18,25,29,45,76,59,22,46,27,47,37,52,50,61,33,51,N
08/08/2017,Tuesday,11:25:40,685.6666666667,4,19,25,31,45,80,63,22,40,26,47,36,52,52,61,37,50,N
08/08/2017,Tuesday,11:33:17,693.2833333333,4,21,34,31,51,79,63,22,40,26,39,36,52,54,61,35,61,N
08/08/2017,Tuesday,11:40:56,700.9333333333,4,20,25,29,55,78,63,21,40,26,39,38,52,55,69,35,60,N
08/08/2017,Tuesday,11:48:35,708.5833333333,4,18,25,29,55,77,59,21,48,25,39,35,52,55,75,33,60,N
08/08/2017,Tuesday,11:56:13,716.2166666667,4,19,25,30,51,79,53,21,46,26,47,37,52,58,113,36,51,N
22/08/2017,Tuesday,11:11:53,671.8833333333,4,21,25,32,51,79,59,23,44,31,49,36,52,50,65,36,51,N
22/08/2017,Tuesday,11:19:48,679.8,4,19,25,32,45,87,59,24,44,32,49,34,52,50,61,36,51,N
