date,day,actual time,to_minutes,slot,car1,bus1 ,car2,bus2,car3,bus3,car4,bus4,car5,bus5,car6,bus6,car7,bus7,car8,bus8,holiday
25/08/2017,Friday,17:03:25,1023.416667,10,14,26,28,56,76,64,20,37,21,46,55,53,46,96,31,57,Y
25/08/2017,Friday,17:11:10,1031.166667,10,15,28,28,51,75,64,21,44,22,50,58,52,46,62,31,51,Y
25/08/2017,Friday,17:18:53,1038.883333,10,14,26,28,45,75,63,21,37,21,50,56,53,49,62,31,51,Y
25/08/2017,Friday,17:26:37,1046.616667,10,13,26,30,56,78,59,21,37,22,46,58,53,50,62,31,56,Y
25/08/2017,Friday,17:34:22,1054.366667,10,13,26,29,56,76,63,21,36,22,50,62,53,50,64,31,51,Y
25/08/2017,Friday,17:42:07,1062.116667,10,13,21,29,56,79,63,22,44,23,50,60,52,50,64,32,51,Y
25/08/2017,Friday,17:49:52,1069.866667,10,13,26,30,51,80,64,22,44,22,50,61,52,49,59,32,51,Y
25/08/2017,Friday,17:57:38,1077.633333,10,13,26,27,56,83,59,23,37,23,46,61,53,50,59,32,59,Y
05/09/2017,Tuesday,17:03:41,1023.683333,10,11,26,29,56,48,64,28,38,20,48,39,53,48,96,61,51,Y
05/09/2017,Tuesday,17:11:23,1031.383333,10,11,28,30,51,50,64,36,46,21,52,40,52,48,62,63,51,Y
05/09/2017,Tuesday,17:19:03,1039.05,10,11,26,30,45,51,63,41,40,21,48,43,53,47,62,63,51,Y
05/09/2017,Tuesday,17:26:44,1046.733333,10,12,26,30,51,52,59,46,40,21,48,44,53,46,62,63,56,Y
05/09/2017,Tuesday,17:34:28,1054.466667,10,11,26,30,56,47,63,36,46,23,52,49,53,47,64,61,51,Y
05/09/2017,Tuesday,17:42:09,1062.15,10,12,21,29,56,47,63,40,46,23,52,51,52,47,64,63,51,Y
05/09/2017,Tuesday,17:49:49,1069.816667,10,12,26,29,51,47,64,39,46,22,48,52,52,47,59,66,51,Y
05/09/2017,Tuesday,17:57:30,1077.5,10,11,26,30,56,48,59,41,40,21,48,53,53,50,59,73,59,Y
15/08/2017,Tuesday,17:04:44,1024.733333,10,12,25,28,55,62,64,20,44,20,45,25,53,42,98,32,51,Y
15/08/2017,Tuesday,17:12:46,1032.766667,10,12,27,27,45,62,63,20,37,20,49,25,53,44,82,33,51,Y
15/08/2017,Tuesday,17:20:27,1040.45,10,13,25,27,45,61,59,21,37,20,45,24,53,45,76,34,51,Y
15/08/2017,Tuesday,17:28:06,1048.1,10,12,25,27,51,60,59,22,37,21,45,25,52,44,70,34,59,Y
15/08/2017,Tuesday,17:35:45,1055.75,10,12,25,28,55,62,63,21,44,21,49,24,53,42,70,33,51,Y
15/08/2017,Tuesday,17:43:24,1063.4,10,12,25,27,55,58,63,21,44,21,49,25,52,43,83,33,51,Y
15/08/2017,Tuesday,17:51:03,1071.05,10,11,28,27,51,65,58,21,44,21,45,24,52,43,80,33,51,Y
15/08/2017,Tuesday,17:58:41,1078.683333,10,12,25,26,55,68,59,22,37,22,45,25,52,43,80,33,59,Y
12/08/2017,Saturday,17:06:02,1026.033333,10,19,25,30,55,74,64,21,48,22,47,33,53,48,98,36,51,Y
12/08/2017,Saturday,17:13:45,1033.75,10,19,27,33,45,80,63,21,40,22,52,33,53,49,82,39,51,Y
12/08/2017,Saturday,17:21:40,1041.666667,10,18,25,31,45,83,59,21,40,22,47,31,53,49,70,36,51,Y
12/08/2017,Saturday,17:29:22,1049.366667,10,21,25,34,51,77,67,23,40,23,52,31,52,49,70,37,59,Y
12/08/2017,Saturday,17:37:06,1057.1,10,19,25,32,55,82,63,22,46,22,52,31,53,51,70,37,51,Y
12/08/2017,Saturday,17:45:59,1065.983333,10,20,25,32,55,76,64,22,46,24,52,29,52,51,80,38,51,Y
12/08/2017,Saturday,17:53:44,1073.733333,10,21,25,32,55,81,59,23,40,24,47,30,53,50,80,37,51,Y
13/08/2017,Sunday,17:07:08,1027.133333,10,16,25,28,51,52,64,20,48,23,47,26,53,42,98,34,51,Y
13/08/2017,Sunday,17:14:47,1034.783333,10,14,27,27,45,55,63,21,40,23,52,26,53,43,81,32,51,Y
13/08/2017,Sunday,17:22:26,1042.433333,10,14,25,27,47,57,59,21,40,23,47,26,53,43,85,32,51,Y
13/08/2017,Sunday,17:30:04,1050.066667,10,16,25,26,51,59,67,21,40,23,52,25,52,43,85,33,59,Y
13/08/2017,Sunday,17:37:42,1057.7,10,14,25,27,55,58,63,21,46,23,52,27,53,43,85,33,51,Y
13/08/2017,Sunday,17:46:25,1066.416667,10,15,25,27,55,58,63,21,46,24,52,28,52,44,80,33,51,Y
13/08/2017,Sunday,17:17:16,1037.266667,10,14,27,28,45,53,63,21,40,23,52,24,53,42,85,32,51,Y
13/08/2017,Sunday,17:24:56,1044.933333,10,17,25,27,55,58,59,21,40,23,47,28,53,43,85,32,56,Y
13/08/2017,Sunday,17:32:33,1052.55,10,15,25,28,55,58,66,22,40,24,52,26,52,43,85,36,51,Y
13/08/2017,Sunday,17:40:12,1060.2,10,15,25,28,55,57,63,21,46,23,52,27,52,43,85,33,51,Y
13/08/2017,Sunday,17:47:47,1067.783333,10,13,25,27,51,59,64,21,46,24,47,26,52,44,80,33,51,Y
13/08/2017,Sunday,17:55:25,1075.416667,10,13,25,28,55,58,59,22,40,23,47,26,53,45,80,32,59,Y
20/08/2017,Sunday,17:05:35,1025.583333,10,15,25,28,55,61,64,21,44,22,45,26,53,42,98,31,51,Y
20/08/2017,Sunday,17:13:19,1033.316667,10,16,27,27,45,61,63,20,37,21,49,25,53,44,82,32,51,Y
20/08/2017,Sunday,17:21:01,1041.016667,10,15,25,27,45,64,59,20,37,22,45,26,53,44,85,31,51,Y
20/08/2017,Sunday,17:28:44,1048.733333,10,18,25,30,51,60,59,21,37,23,45,26,52,44,85,31,59,Y
20/08/2017,Sunday,17:36:27,1056.45,10,17,25,30,55,60,63,21,44,22,49,25,53,48,85,31,51,Y
20/08/2017,Sunday,17:46:22,1066.366667,10,16,25,30,55,61,64,21,44,23,49,27,52,49,80,31,51,Y
20/08/2017,Sunday,17:54:04,1074.066667,10,16,25,28,55,60,59,22,37,24,45,26,53,50,80,31,51,Y
27/08/2017,Sunday,17:01:38,1021.633333,10,16,26,30,56,71,64,20,44,24,46,25,52,44,96,39,57,Y
27/08/2017,Sunday,17:09:21,1029.35,10,17,26,29,51,78,64,20,44,23,46,24,52,44,96,38,51,Y
27/08/2017,Sunday,17:17:02,1037.033333,10,18,28,29,45,76,63,21,37,23,50,25,53,45,62,41,51,Y
27/08/2017,Sunday,17:24:45,1044.75,10,18,26,29,56,77,59,20,37,23,46,25,53,47,62,42,56,Y
27/08/2017,Sunday,17:32:27,1052.45,10,19,26,31,56,67,66,21,37,23,50,25,52,46,64,46,51,Y
27/08/2017,Sunday,17:40:16,1060.266667,10,16,26,29,56,76,63,22,44,23,50,27,52,49,64,46,51,Y
27/08/2017,Sunday,17:48:00,1068,10,14,26,29,51,77,64,22,44,24,50,29,52,50,64,47,51,Y
27/08/2017,Sunday,17:55:44,1075.733333,10,14,26,28,56,74,59,22,37,24,46,31,53,50,64,49,59,Y
03/09/2017,Sunday,17:03:17,1023.283333,10,15,26,28,56,60,64,23,38,23,48,28,53,43,96,35,57,Y
03/09/2017,Sunday,17:11:01,1031.016667,10,16,28,27,51,61,64,23,46,22,52,28,52,43,62,36,51,Y
03/09/2017,Sunday,17:20:04,1040.066667,10,15,26,29,45,65,63,23,40,22,48,26,53,45,62,34,51,Y
03/09/2017,Sunday,17:27:52,1047.866667,10,14,26,27,51,61,59,22,40,23,52,27,52,44,62,34,59,Y
03/09/2017,Sunday,17:35:34,1055.566667,10,16,26,28,56,61,63,24,46,23,52,26,53,45,64,36,51,Y
03/09/2017,Sunday,17:43:15,1063.25,10,14,21,28,56,58,63,24,46,23,52,29,52,45,64,33,51,Y
03/09/2017,Sunday,17:51:02,1071.033333,10,15,26,28,51,60,58,24,46,23,48,29,52,46,64,32,51,Y
03/09/2017,Sunday,17:58:46,1078.766667,10,13,26,27,56,59,59,26,40,23,48,29,52,47,64,34,59,Y
24/09/2017,Sunday,17:05:58,1025.966667,10,14,23,27,44,56,69,22,42,22,46,25,53,48,89,30,63,Y
24/09/2017,Sunday,17:13:38,1033.633333,10,16,22,27,44,56,69,21,42,22,42,26,53,48,89,30,63,Y
24/09/2017,Sunday,17:21:18,1041.3,10,15,22,28,40,61,64,22,42,23,46,27,53,48,62,31,68,Y
24/09/2017,Sunday,17:28:57,1048.95,10,14,22,27,44,62,69,22,42,22,46,39,53,49,92,32,68,Y
24/09/2017,Sunday,17:36:36,1056.6,10,14,24,27,44,63,69,21,42,23,46,31,52,50,92,31,66,Y
24/09/2017,Sunday,17:44:17,1064.283333,10,15,22,26,44,64,64,22,42,23,42,30,53,51,92,31,66,Y
24/09/2017,Sunday,17:51:53,1071.883333,10,13,22,26,44,66,64,22,42,23,42,28,53,48,92,30,62,Y
24/09/2017,Sunday,17:59:32,1079.533333,10,12,22,26,40,64,69,23,42,23,46,27,53,49,92,30,62,Y
