date,Monday,actual time,to_minutes,slot,car1,bus1,car2,bus2,car3,bus3,car4,bus4,car5,bus5,car6,bus6,car7,bus7,car8,bus8,Holiday
07/08/2107,Monday,13:06:27,786.45,6,13,25,31,51,77,63,21,40,24,52,49,52,57,61,36,51,N
07/08/2107,Monday,13:14:08,794.1333333333,6,12,21,32,55,81,63,21,33,22,52,48,52,57,87,35,51,N
07/08/2107,Monday,13:21:47,801.7833333333,6,12,27,30,51,77,63,21,46,22,52,51,52,57,70,35,51,N
07/08/2107,Monday,13:29:27,809.45,6,12,21,29,51,80,59,21,46,22,52,51,52,51,113,37,62,N
07/08/2107,Monday,13:37:07,817.1166666667,6,11,25,28,55,81,63,20,40,22,52,54,52,56,81,35,65,N
07/08/2107,Monday,13:44:47,824.7833333333,6,12,34,29,51,80,55,20,40,22,47,43,52,52,70,37,57,N
07/08/2107,Monday,13:52:28,832.4666666667,6,13,21,29,47,79,63,21,40,21,39,44,52,49,70,37,57,N
14/08/2017,Monday,13:30:23,810.3833333333,6,13,21,33,51,62,59,20,44,21,49,25,52,41,113,35,62,N
14/08/2017,Monday,13:38:01,818.0166666667,6,13,25,31,51,68,63,20,37,22,49,25,52,42,70,32,57,N
14/08/2017,Monday,13:45:40,825.6666666667,6,12,21,31,51,61,55,20,37,22,45,25,52,42,70,34,57,N
14/08/2017,Monday,13:53:19,833.3166666667,6,14,21,31,47,65,63,20,44,21,45,24,52,41,70,33,66,N
21/08/2017,Monday,13:04:30,784.5,6,15,25,29,51,63,63,21,37,29,49,29,52,45,61,32,61,N
21/08/2017,Monday,13:12:16,792.2666666667,6,16,21,31,50,63,63,22,37,28,49,27,52,45,69,33,51,N
21/08/2017,Monday,13:20:00,800,6,16,27,32,51,69,64,21,44,25,49,27,52,47,70,33,51,N
21/08/2017,Monday,13:27:40,807.6666666667,6,15,21,30,51,63,54,20,44,25,49,28,52,45,113,32,62,N
21/08/2017,Monday,13:35:22,815.3666666667,6,15,25,29,55,67,59,21,37,24,49,29,52,46,81,33,65,N
21/08/2017,Monday,13:43:02,823.0333333333,6,15,34,29,51,67,67,21,37,25,45,28,52,47,70,33,57,N
21/08/2017,Monday,13:50:42,830.7,6,15,21,28,51,65,55,21,37,23,45,25,52,47,70,33,57,N
21/08/2017,Monday,13:58:21,838.35,6,15,21,29,47,62,63,20,44,21,45,26,52,45,74,33,60,N
28/08/2017,Monday,13:01:53,781.8833333333,6,23,26,33,52,62,59,28,44,30,50,30,52,48,59,36,61,N
28/08/2017,Monday,13:09:42,789.7,6,24,26,33,51,62,63,26,37,27,50,30,52,47,55,33,51,N
28/08/2017,Monday,13:17:26,797.4333333333,6,23,28,32,51,63,64,23,31,27,50,30,52,47,55,35,51,N
28/08/2017,Monday,13:25:29,805.4833333333,6,25,21,34,51,60,54,22,44,25,50,30,52,47,55,34,62,N
28/08/2017,Monday,13:33:13,813.2166666667,6,20,26,31,56,58,59,21,37,24,50,30,52,48,71,37,62,N
28/08/2017,Monday,13:40:53,820.8833333333,6,20,28,35,51,60,63,21,37,23,46,29,52,46,64,35,57,N
28/08/2017,Monday,13:48:32,828.5333333333,6,21,21,31,51,61,55,20,37,23,46,28,52,47,64,35,57,N
28/08/2017,Monday,13:56:11,836.1833333333,6,22,21,31,48,62,63,20,44,22,46,27,52,47,64,37,60,N
11/09/2017,Monday,13:01:38,781.6333333333,6,14,26,30,52,64,64,21,44,24,50,28,52,47,59,36,61,N
11/09/2017,Monday,13:09:19,789.3166666667,6,15,26,30,51,58,69,21,37,25,50,27,52,48,55,32,51,N
11/09/2017,Monday,13:16:59,796.9833333333,6,14,28,31,55,60,69,20,31,22,50,27,52,47,55,32,51,N
11/09/2017,Monday,13:24:42,804.7,6,13,26,33,51,57,64,20,44,22,50,27,52,48,55,32,62,N
11/09/2017,Monday,13:32:22,812.3666666667,6,14,26,30,56,54,64,20,44,23,50,29,52,47,71,34,62,N
11/09/2017,Monday,13:40:03,820.05,6,13,26,30,51,54,62,20,37,21,50,29,52,46,64,34,57,N
11/09/2017,Monday,13:47:44,827.7333333333,6,14,21,30,51,52,69,20,37,22,46,29,52,52,64,32,57,N
11/09/2017,Monday,13:55:26,835.4333333333,6,14,21,29,48,51,69,20,44,21,46,27,52,49,64,35,60,N
08/08/2017,Tuesday,13:02:46,782.7666666667,6,14,25,29,51,71,59,21,40,21,52,31,52,52,61,34,61,N
08/08/2017,Tuesday,13:10:25,790.4166666667,6,15,25,30,51,69,63,20,40,20,52,31,52,53,69,34,51,N
08/08/2017,Tuesday,13:18:04,798.0666666667,6,14,27,30,51,72,64,21,33,20,52,30,52,51,70,33,51,N
08/08/2017,Tuesday,13:25:43,805.7166666667,6,14,21,30,51,63,54,20,46,21,52,30,52,50,113,34,62,N
08/08/2017,Tuesday,13:33:21,813.35,6,12,25,31,55,64,59,21,40,21,52,29,52,52,81,33,62,N
08/08/2017,Tuesday,13:40:59,820.9833333333,6,13,34,29,51,62,63,20,40,21,47,27,52,53,70,32,57,N
08/08/2017,Tuesday,13:48:38,828.6333333333,6,12,21,28,51,64,55,20,40,21,39,25,52,52,70,32,57,N
08/08/2017,Tuesday,13:56:16,836.2666666667,6,12,21,28,47,59,63,20,46,20,39,27,52,52,70,34,60,N
22/08/2017,Tuesday,13:06:31,786.5166666667,6,13,25,30,51,70,63,21,37,21,49,30,52,45,61,36,51,N
22/08/2017,Tuesday,13:14:22,794.3666666667,6,13,21,30,55,70,63,20,31,22,49,32,52,49,87,34,51,N
22/08/2017,Tuesday,13:22:18,802.3,6,14,27,31,51,67,69,21,44,22,49,31,52,45,70,32,51,N
22/08/2017,Tuesday,13:30:05,810.0833333333,6,13,21,30,51,65,59,20,44,22,49,31,52,46,113,32,62,N
22/08/2017,Tuesday,13:37:49,817.8166666667,6,12,25,29,51,67,63,20,37,22,49,30,52,45,70,33,57,N
