date,day,actual time,to_minutes,slot,car1,bus1 ,car2,bus2,car3,bus3,car4,bus4,car5,bus5,car6,bus6,car7,bus7,car8,bus8,holiday
25/08/2017,Friday,14:00:14,840.2333333,7,11,21,25,53,55,52,19,44,20,46,28,52,46,64,29,60,Y
25/08/2017,Friday,14:07:54,847.9,7,12,26,25,56,52,59,19,44,20,46,28,52,52,74,30,51,Y
25/08/2017,Friday,14:15:35,855.5833333,7,11,26,26,56,51,64,19,44,20,50,26,52,50,74,30,51,Y
25/08/2017,Friday,14:23:16,863.2666667,7,12,26,26,45,52,63,19,44,21,50,27,52,47,74,30,51,Y
25/08/2017,Friday,14:30:57,870.95,7,12,26,26,45,49,64,18,44,21,46,30,53,46,82,30,60,Y
25/08/2017,Friday,14:38:39,878.65,7,12,26,28,45,51,59,18,37,21,46,30,52,46,67,31,60,Y
25/08/2017,Friday,14:46:19,886.3166667,7,11,26,27,45,49,67,18,37,20,50,30,52,48,67,30,63,Y
25/08/2017,Friday,14:54:05,894.0833333,7,12,35,29,56,48,64,19,37,20,46,33,52,47,67,30,62,Y
05/09/2017,Tuesday,14:05:52,845.8666667,7,10,26,27,51,51,59,19,46,19,48,32,52,46,67,41,60,Y
05/09/2017,Tuesday,14:13:38,853.6333333,7,12,26,26,56,50,64,19,46,20,52,31,52,45,74,42,51,Y
05/09/2017,Tuesday,14:21:20,861.3333333,7,12,26,26,45,49,63,19,46,19,52,30,52,45,74,44,51,Y
05/09/2017,Tuesday,14:54:17,894.2833333,7,10,35,29,56,46,64,20,40,22,48,34,52,44,67,51,62,Y
15/08/2017,Tuesday,14:07:21,847.35,7,10,25,26,55,50,59,18,44,20,45,24,52,38,73,31,51,Y
15/08/2017,Tuesday,14:15:01,855.0166667,7,11,25,26,55,50,64,19,44,20,49,24,52,36,113,30,51,Y
15/08/2017,Tuesday,14:22:40,862.6666667,7,11,25,25,45,49,63,19,44,20,49,24,52,35,86,30,51,Y
15/08/2017,Tuesday,14:30:21,870.35,7,11,25,25,45,50,64,19,44,20,45,23,53,36,86,30,60,Y
15/08/2017,Tuesday,14:38:00,878,7,11,27,25,44,50,59,19,37,20,45,23,52,36,71,31,60,Y
