date,Monday,actual time,to_minutes,slot,car1,bus1,car2,bus2,car3,bus3,car4,bus4,car5,bus5,car6,bus6,car7,bus7,car8,bus8,Holiday
07/08/2017,Monday,15:01:36,901.6,8,14,25,27,52,68,63,21,40,21,52,48,53,47,75,34,51,N
07/08/2107,Monday,15:09:19,909.3166667,8,14,25,28,51,66,59,21,46,21,52,44,52,46,75,36,51,N
07/08/2107,Monday,15:17:00,917,8,13,25,26,55,65,63,20,39,21,52,41,52,49,75,35,51,N
07/08/2107,Monday,15:24:42,924.7,8,12,25,27,55,68,63,20,40,21,47,45,52,50,70,36,58,N
07/08/2107,Monday,15:32:25,932.4166667,8,17,25,28,47,71,55,21,40,20,47,44,52,48,74,35,61,N
07/08/2107,Monday,15:40:06,940.1,8,15,25,28,55,72,59,20,46,20,52,44,53,49,70,36,63,N
07/08/2107,Monday,15:47:49,947.8166667,8,14,25,27,51,73,59,21,40,20,52,47,52,44,70,34,62,N
07/08/2107,Monday,15:55:31,955.5166667,8,15,25,30,55,69,64,21,46,20,52,44,52,45,70,37,64,N
14/08/2017,Monday,15:02:20,902.3333333,8,14,25,28,55,63,63,20,37,20,49,25,53,40,75,36,51,N
14/08/2017,Monday,15:09:59,909.9833333,8,16,25,28,51,62,59,20,44,20,49,25,52,41,75,34,51,N
14/08/2017,Monday,15:17:39,917.65,8,15,25,28,52,58,63,20,37,20,49,26,52,40,75,35,51,N
14/08/2017,Monday,15:25:18,925.3,8,14,25,28,55,59,63,20,37,20,45,25,52,40,70,35,58,N
21/08/2017,Monday,15:07:19,907.3166667,8,13,25,28,51,57,59,20,44,21,49,28,52,45,75,33,51,N
21/08/2017,Monday,15:14:59,914.9833333,8,13,25,28,52,59,59,20,37,20,49,30,52,45,75,32,51,N
21/08/2017,Monday,15:22:40,922.6666667,8,14,25,28,55,57,63,20,44,20,45,29,52,45,70,34,51,N
21/08/2017,Monday,15:45:30,945.5,8,15,21,28,55,62,59,20,37,20,49,30,52,47,70,36,63,N
21/08/2017,Monday,15:53:10,953.1666667,8,13,25,28,55,59,64,20,44,21,49,30,52,45,70,34,64,N
28/08/2017,Monday,15:04:31,904.5166667,8,17,26,33,56,64,63,21,44,21,50,30,52,46,76,36,51,N
28/08/2017,Monday,15:12:14,912.2333333,8,19,26,31,51,65,59,20,44,21,50,31,52,46,76,35,51,N
28/08/2017,Monday,15:19:53,919.8833333,8,21,26,31,53,63,63,20,44,21,50,30,52,48,74,35,51,N
28/08/2017,Monday,15:27:34,927.5666667,8,21,26,30,51,64,64,20,37,20,46,30,52,47,64,36,58,N
28/08/2017,Monday,15:40:44,940.7333333,8,21,21,30,56,65,59,21,46,20,52,30,53,45,54,36,63,N
11/09/2017,Monday,15:04:39,904.65,8,17,26,30,56,53,69,20,44,21,50,29,52,45,76,35,51,N
11/09/2017,Monday,15:12:20,912.3333333,8,16,26,29,52,53,64,20,44,21,50,31,52,44,76,32,51,N
11/09/2017,Monday,15:20:00,920,8,14,26,30,53,59,69,20,44,20,50,28,52,43,74,33,51,N
11/09/2017,Monday,15:27:41,927.6833333,8,13,26,28,51,59,58,20,37,20,46,28,52,43,64,32,58,N
11/09/2017,Monday,15:35:22,935.3666667,8,15,26,27,48,58,69,20,44,20,46,28,52,42,54,34,61,N
11/09/2017,Monday,15:43:03,943.05,8,15,21,28,56,59,69,20,37,20,50,30,52,43,54,35,63,N
11/09/2017,Monday,15:50:44,950.7333333,8,16,26,28,51,59,69,20,37,21,50,28,52,44,54,35,64,N
11/09/2017,Monday,15:58:24,958.4,8,16,21,30,56,58,69,21,44,21,50,30,52,44,68,35,64,N
08/08/2017,Tuesday,15:05:08,905.1333333,8,15,25,26,55,57,59,20,46,20,52,25,52,47,75,34,51,N
08/08/2017,Tuesday,15:12:47,912.7833333,8,14,25,27,52,59,59,20,39,20,52,25,52,47,75,34,51,N
08/08/2017,Tuesday,15:20:26,920.4333333,8,13,25,27,52,61,63,20,46,20,47,26,52,47,75,33,51,N
08/08/2017,Tuesday,15:28:05,928.0833333,8,15,25,27,51,58,64,20,40,20,47,29,52,48,74,33,58,N
08/08/2017,Tuesday,15:35:43,935.7166667,8,15,25,27,47,58,59,20,46,20,47,29,52,48,72,36,61,N
08/08/2017,Tuesday,15:43:21,943.35,8,13,21,26,55,59,59,20,40,20,52,28,52,50,70,33,63,N
08/08/2017,Tuesday,15:51:01,951.0166667,8,16,25,27,51,61,64,21,40,20,52,29,52,50,70,36,64,N
08/08/2017,Tuesday,15:58:40,958.6666667,8,14,21,28,55,63,64,21,46,20,54,28,52,48,62,37,64,N
22/08/2017,Tuesday,15:00:54,900.9,8,13,25,27,52,57,63,20,37,21,49,29,53,45,75,33,51,N
22/08/2017,Tuesday,15:08:41,908.6833333,8,14,25,28,51,57,59,20,44,21,49,29,52,44,75,37,51,N
22/08/2017,Tuesday,15:38:12,938.2,8,14,25,28,47,56,59,20,44,20,45,31,53,46,113,35,61,N
22/08/2017,Tuesday,15:46:13,946.2166667,8,14,21,29,55,55,59,20,37,20,49,31,52,46,70,34,63,N
22/08/2017,Tuesday,15:58:54,958.9,8,13,21,28,55,63,64,21,44,21,49,32,52,46,62,33,64,N
29/08/2017,Tuesday,15:01:35,901.5833333,8,15,26,30,56,60,63,21,40,22,52,34,53,48,76,36,51,N
29/08/2017,Tuesday,15:09:43,909.7166667,8,15,26,30,51,58,59,21,46,21,52,32,52,50,76,38,51,N
29/08/2017,Tuesday,15:17:23,917.3833333,8,16,26,30,53,59,63,21,39,21,52,31,52,49,76,36,51,N
29/08/2017,Tuesday,15:25:03,925.05,8,16,26,32,56,61,63,21,40,21,48,28,52,48,64,36,58,N
29/08/2017,Tuesday,15:33:05,933.0833333,8,16,26,34,48,61,55,22,46,21,48,30,52,48,64,38,61,N
29/08/2017,Tuesday,15:40:44,940.7333333,8,16,21,32,56,63,59,22,46,20,52,33,53,48,54,37,63,N
29/08/2017,Tuesday,15:48:23,948.3833333,8,17,26,32,51,62,59,21,40,21,52,34,52,51,54,40,62,N
