date,Monday,actual time,to_minutes,slot,car1,bus1,car2,bus2,car3,bus3,car4,bus4,car5,bus5,car6,bus6,car7,bus7,car8,bus8,Holiday
07/08/2107,Monday,12:04:53,724.8833333,5,14,25,30,44,76,63,24,40,29,41,47,52,52,73,37,51,N
07/08/2107,Monday,12:12:35,732.5833333,5,14,34,32,44,81,53,27,40,30,47,53,52,56,73,36,51,N
07/08/2107,Monday,12:20:22,740.3666667,5,14,25,30,54,83,59,27,40,29,52,51,52,53,73,36,51,N
07/08/2107,Monday,12:28:03,748.05,5,13,34,29,55,81,59,22,46,30,52,49,52,52,70,34,57,N
07/08/2107,Monday,12:35:44,755.7333333,5,13,25,30,57,82,64,23,46,30,52,47,52,53,70,40,62,N
07/08/2107,Monday,12:43:23,763.3833333,5,12,25,30,51,81,63,22,40,28,47,48,52,59,61,35,62,N
07/08/2107,Monday,12:51:06,771.1,5,13,25,32,51,82,63,21,40,25,47,52,52,56,61,35,62,N
07/08/2107,Monday,12:58:46,778.7666667,5,13,34,33,52,81,59,21,46,24,52,50,52,52,61,36,61,N
