date,day,actual time,to_minutes,slot,car1,bus1 ,car2,bus2,car3,bus3,car4,bus4,car5,bus5,car6,bus6,car7,bus7,car8,bus8,holiday
25/08/2017,Friday,11:03:33,663.55,4,11,26,27,52,48,63,19,44,21,50,32,52,52,58,30,51,Y
25/08/2017,Friday,11:11:14,671.2333333,4,11,26,27,56,48,59,19,44,22,50,29,52,50,56,29,51,Y
25/08/2017,Friday,11:18:53,678.8833333,4,12,26,27,45,46,59,19,44,21,50,30,52,49,56,30,51,Y
25/08/2017,Friday,11:26:33,686.55,4,11,26,27,45,47,63,20,37,21,46,35,52,45,61,30,50,Y
25/08/2017,Friday,11:34:14,694.2333333,4,12,35,27,51,49,63,20,37,22,50,36,52,49,61,32,61,Y
25/08/2017,Friday,11:41:55,701.9166667,4,11,26,28,55,51,63,20,37,22,46,36,52,47,58,31,60,Y
25/08/2017,Friday,11:49:34,709.5666667,4,11,26,28,56,51,59,19,44,22,46,35,52,48,58,31,60,Y
25/08/2017,Friday,11:57:14,717.2333333,4,11,35,27,45,51,53,19,44,22,46,38,52,50,64,31,51,Y
05/09/2017,Tuesday,11:03:42,663.7,4,11,26,26,52,54,63,20,46,21,52,41,52,55,58,32,51,Y
05/09/2017,Tuesday,11:11:22,671.3666667,4,10,26,26,56,55,59,21,46,21,52,38,52,54,56,32,51,Y
05/09/2017,Tuesday,11:19:02,679.0333333,4,11,26,26,45,53,59,21,46,21,48,37,52,53,56,34,51,Y
05/09/2017,Tuesday,11:26:42,686.7,4,10,26,26,45,53,63,21,40,22,48,41,52,56,61,36,50,Y
05/09/2017,Tuesday,11:34:29,694.4833333,4,11,35,26,51,57,63,21,40,23,52,39,52,55,61,37,61,Y
05/09/2017,Tuesday,11:42:14,702.2333333,4,12,26,27,55,56,63,21,40,22,48,43,52,53,58,39,60,Y
05/09/2017,Tuesday,11:49:55,709.9166667,4,11,26,27,56,56,59,21,49,22,48,44,52,52,58,38,60,Y
05/09/2017,Tuesday,11:57:35,717.5833333,4,11,35,28,45,56,53,21,46,22,48,41,52,52,64,39,51,Y
15/08/2017,Tuesday,11:05:21,665.35,4,13,25,26,52,44,63,19,44,21,49,23,52,43,65,30,51,Y
15/08/2017,Tuesday,11:13:00,673,4,11,25,26,51,44,59,19,44,20,49,23,52,44,65,30,51,Y
15/08/2017,Tuesday,11:20:42,680.7,4,11,25,27,45,45,59,19,44,21,45,23,52,44,61,30,51,Y
15/08/2017,Tuesday,11:28:24,688.4,4,11,25,27,45,44,55,19,37,21,45,23,52,44,61,31,50,Y
15/08/2017,Tuesday,11:36:02,696.0333333,4,11,34,27,51,46,63,20,37,21,37,24,52,43,61,32,61,Y
15/08/2017,Tuesday,11:43:41,703.6833333,4,12,25,27,55,46,63,20,44,21,37,23,52,45,75,31,60,Y
15/08/2017,Tuesday,11:51:24,711.4,4,11,25,27,55,45,59,20,44,22,45,23,52,44,75,32,60,Y
15/08/2017,Tuesday,11:59:04,719.0666667,4,12,34,27,44,45,63,19,44,22,45,23,52,45,113,33,51,Y
13/08/2017,Sunday,11:03:14,663.2333333,4,12,25,26,52,48,63,20,46,20,52,24,52,44,65,31,51,Y
13/08/2017,Sunday,11:10:54,670.9,4,13,25,26,55,48,59,20,46,20,52,25,52,48,65,33,51,Y
