date,day,Actual Time,to_minutes,slot,car1,bus1,car2,bus2,car3,bus3,car4,bus4,car5,bus5,car6,bus6,car7,bus7,car8,bus8,Holiday
07/08/2107,Monday,08:25:24,505.4,1,10,25,22,55,55,64,19,46,24,47,28,52,41,98,30,54,N
07/08/2107,Monday,08:35:37,515.6166667,1,10,25,23,51,55,54,19,46,26,52,33,52,41,91,29,54,N
07/08/2107,Monday,08:39:52,519.8666667,1,10,25,23,55,56,63,20,46,26,52,31,52,41,69,28,54,N
07/08/2107,Monday,08:47:32,527.5333333,1,10,25,23,55,58,59,19,46,25,52,30,52,41,98,29,51,N
07/08/2107,Monday,08:55:11,535.1833333,1,11,25,24,51,60,59,20,46,26,47,28,52,42,69,29,54,N
14/08/2017,Monday,08:45:34,525.5666667,1,11,25,24,51,66,59,19,44,27,49,31,52,39,98,28,51,N
14/08/2017,Monday,08:53:13,533.2166667,1,12,25,25,51,67,59,19,44,27,45,30,52,40,69,28,51,N
21/08/2017,Monday,08:04:37,484.6166667,1,10,25,22,51,58,59,18,37,26,37,30,52,44,98,28,51,N
21/08/2017,Monday,08:12:17,492.2833333,1,10,25,22,45,60,64,19,37,29,45,32,52,44,98,28,51,N
21/08/2017,Monday,08:19:56,499.9333333,1,10,25,22,55,65,63,19,37,31,45,37,52,44,64,29,51,N
21/08/2017,Monday,08:27:35,507.5833333,1,10,25,23,55,67,63,20,44,32,45,41,52,43,91,30,54,N
21/08/2017,Monday,08:35:16,515.2666667,1,12,25,24,51,76,54,21,44,35,49,40,52,44,91,29,54,N
21/08/2017,Monday,08:42:55,522.9166667,1,12,25,24,51,74,63,21,44,39,49,38,52,44,98,29,54,N
21/08/2017,Monday,08:50:34,530.5666667,1,12,25,25,55,73,59,21,44,42,45,40,52,44,98,29,51,N
21/08/2017,Monday,08:58:14,538.2333333,1,11,25,25,55,77,63,22,44,40,45,45,53,44,83,29,54,N
28/08/2017,Monday,08:07:22,487.3666667,1,11,26,23,45,56,59,18,37,30,50,29,52,46,58,29,51,N
28/08/2017,Monday,08:15:00,495,1,11,26,23,45,59,64,19,37,31,46,29,52,48,58,30,51,N
28/08/2017,Monday,08:22:42,502.7,1,11,26,24,56,60,63,20,37,34,46,30,52,48,58,29,51,N
28/08/2017,Monday,08:30:26,510.4333333,1,12,26,24,56,64,59,20,44,34,50,30,52,46,64,30,54,N
28/08/2017,Monday,08:38:05,518.0833333,1,10,26,24,56,65,63,21,44,36,50,31,52,44,58,30,54,N
28/08/2017,Monday,08:45:43,525.7166667,1,11,26,24,52,70,59,21,44,37,50,34,52,45,58,32,51,N
28/08/2017,Monday,08:53:22,533.3666667,1,12,26,26,51,72,59,24,44,35,46,30,52,46,58,30,51,N
11/09/2017,Monday,08:01:35,481.5833333,1,9,26,21,53,56,64,18,44,28,50,30,52,47,58,26,51,N
11/09/2017,Monday,08:09:13,489.2166667,1,10,26,22,45,59,64,19,37,33,50,32,52,47,96,27,51,N
11/09/2017,Monday,08:16:54,496.9,1,10,37,22,45,59,69,20,37,32,46,35,52,49,58,30,51,N
11/09/2017,Monday,08:24:33,504.55,1,10,26,23,56,62,50,20,44,33,46,38,52,48,58,28,51,N
11/09/2017,Monday,08:32:12,512.2,1,10,26,23,51,65,64,21,44,35,50,43,52,48,64,28,54,N
11/09/2017,Monday,08:39:52,519.8666667,1,11,26,24,56,63,69,22,44,36,50,42,52,48,58,27,54,N
11/09/2017,Monday,08:47:31,527.5166667,1,11,26,25,56,64,69,22,44,35,50,43,52,46,58,28,51,N
11/09/2017,Monday,08:55:10,535.1666667,1,13,26,26,51,67,69,24,44,36,46,42,52,46,69,28,54,N
18/09/2017,Monday,08:04:20,484.3333333,1,9,22,22,40,58,64,18,40,30,43,34,52,44,79,27,51,N
18/09/2017,Monday,08:11:59,491.9833333,1,9,22,22,40,63,64,18,40,30,40,38,52,44,74,31,51,N
18/09/2017,Monday,08:19:34,499.5666667,1,10,22,22,44,65,69,19,40,32,40,40,52,45,79,28,51,N
18/09/2017,Monday,08:27:12,507.2,1,10,22,23,44,64,50,20,40,33,40,46,52,45,79,29,54,N
18/09/2017,Monday,08:34:47,514.7833333,1,12,22,23,40,64,50,20,40,33,43,43,52,48,79,28,54,N
18/09/2017,Monday,08:42:26,522.4333333,1,15,22,24,44,66,69,20,40,32,43,47,52,46,79,28,54,N
18/09/2017,Monday,08:52:24,532.4,1,16,24,25,40,73,69,20,40,35,40,42,52,43,79,29,51,N
18/09/2017,Monday,08:59:58,539.9666667,1,15,22,25,44,72,69,21,40,35,43,42,53,44,79,28,54,N
