date,Monday,actual time,to_minutes,slot,car1,bus1,car2,bus2,car3,bus3,car4,bus4,car5,bus5,car6,bus6,car7,bus7,car8,bus8,Holiday
07/08/2107,Monday,18:01:40,1081.666667,11,15,25,28,55,76,59,46,40,24,47,40,52,51,80,39,59,N
07/08/2107,Monday,18:09:22,1089.366667,11,19,25,28,51,80,57,40,46,23,52,38,52,50,80,40,51,N
07/08/2107,Monday,18:17:03,1097.05,11,17,25,29,55,77,64,40,40,25,52,38,53,50,70,41,51,N
07/08/2107,Monday,18:24:43,1104.716667,11,16,25,30,55,77,59,42,46,23,52,36,52,51,70,39,56,N
07/08/2107,Monday,18:32:36,1112.6,11,15,25,29,55,76,64,40,46,24,39,40,53,51,79,40,51,N
07/08/2107,Monday,18:40:23,1120.383333,11,15,25,28,44,80,59,43,46,24,52,39,52,50,79,39,51,N
07/08/2107,Monday,18:48:04,1128.066667,11,15,25,28,44,80,59,41,40,26,47,33,52,51,79,38,51,N
07/08/2107,Monday,18:55:44,1135.733333,11,14,27,28,55,77,63,42,40,26,47,32,52,51,68,40,51,N
14/08/2017,Monday,18:07:18,1087.3,11,16,25,32,51,76,63,34,46,25,47,42,53,45,80,37,51,N
14/08/2017,Monday,18:14:57,1094.95,11,17,21,32,55,79,64,36,40,23,52,46,53,47,80,37,51,N
14/08/2017,Monday,18:22:37,1102.616667,11,16,25,31,55,76,59,37,40,23,52,45,53,48,70,38,51,N
14/08/2017,Monday,18:30:15,1110.25,11,14,25,31,51,72,64,38,46,23,39,45,52,49,79,40,59,N
14/08/2017,Monday,18:42:56,1122.933333,11,15,25,31,44,78,59,39,40,26,52,50,52,48,79,40,51,N
14/08/2017,Monday,18:50:39,1130.65,11,16,25,31,44,77,59,38,40,25,47,47,52,48,75,41,51,N
14/08/2017,Monday,18:58:19,1138.316667,11,15,27,30,55,72,55,40,40,28,45,41,52,47,68,43,51,N
21/08/2017,Monday,18:03:36,1083.6,11,16,25,30,55,69,63,48,44,24,45,50,53,47,80,39,51,N
21/08/2017,Monday,18:11:17,1091.283333,11,17,25,31,51,72,57,49,44,27,49,51,52,46,80,39,51,N
21/08/2017,Monday,18:18:59,1098.983333,11,16,25,31,55,76,64,42,37,28,49,58,52,46,70,36,51,N
21/08/2017,Monday,18:26:44,1106.733333,11,17,25,29,51,75,59,47,44,29,49,55,52,47,70,37,56,N
21/08/2017,Monday,18:34:24,1114.4,11,17,25,29,55,76,64,49,44,30,37,61,53,47,79,39,51,N
21/08/2017,Monday,18:42:03,1122.05,11,16,25,29,44,75,59,47,44,30,49,58,52,47,79,40,51,N
21/08/2017,Monday,18:49:45,1129.75,11,15,25,28,44,75,59,47,37,29,49,64,52,49,79,40,51,N
21/08/2017,Monday,18:57:27,1137.45,11,16,27,28,55,74,55,51,37,29,45,52,53,50,68,40,51,N
28/08/2017,Monday,18:02:35,1082.583333,11,22,26,33,56,76,59,44,40,23,48,48,52,50,59,40,59,N
28/08/2017,Monday,18:10:15,1090.25,11,22,26,34,51,75,57,47,46,24,52,54,52,50,76,41,51,N
28/08/2017,Monday,18:17:54,1097.9,11,25,26,31,56,77,64,44,40,24,52,54,52,50,76,41,51,N
28/08/2017,Monday,18:25:35,1105.583333,11,24,26,32,56,77,59,45,46,25,52,53,52,51,59,44,56,N
28/08/2017,Monday,18:33:15,1113.25,11,25,26,32,56,76,64,45,46,25,52,56,53,51,59,45,51,N
28/08/2017,Monday,18:41:00,1121,11,23,26,32,45,78,59,46,46,27,52,52,52,49,80,45,51,N
28/08/2017,Monday,18:48:43,1128.716667,11,24,26,31,45,77,59,49,40,25,48,53,52,50,78,45,51,N
28/08/2017,Monday,18:56:38,1136.633333,11,25,28,31,56,77,55,45,40,28,48,46,52,50,69,44,51,N
11/09/2017,Monday,18:01:12,1081.2,11,17,26,30,56,64,64,44,37,23,46,51,52,51,59,36,59,N
11/09/2017,Monday,18:08:52,1088.866667,11,18,26,29,51,68,58,43,44,25,46,54,52,52,76,37,51,N
11/09/2017,Monday,18:16:32,1096.533333,11,16,26,31,56,69,64,44,37,25,50,54,53,51,76,36,51,N
11/09/2017,Monday,18:24:11,1104.183333,11,18,26,35,56,70,64,44,44,28,50,57,52,54,59,37,51,N
11/09/2017,Monday,18:31:53,1111.883333,11,20,26,31,51,69,58,40,44,27,50,60,52,51,59,39,51,N
11/09/2017,Monday,18:39:33,1119.55,11,16,26,30,45,72,58,43,44,26,50,62,52,50,80,40,51,N
11/09/2017,Monday,18:47:15,1127.25,11,19,26,30,45,71,64,40,37,26,50,57,52,49,80,40,51,N
11/09/2017,Monday,18:54:56,1134.933333,11,13,28,30,56,73,69,40,37,26,46,60,52,50,69,41,70,N
18/09/2017,Monday,18:00:46,1080.766667,11,15,22,30,44,70,64,34,40,24,40,59,52,51,67,38,59,N
18/09/2017,Monday,18:08:35,1088.583333,11,16,24,31,40,67,58,35,40,25,40,54,52,51,78,37,51,N
18/09/2017,Monday,18:16:10,1096.166667,11,18,24,31,44,74,64,36,40,24,43,54,53,50,76,38,51,N
18/09/2017,Monday,18:23:56,1103.933333,11,17,27,31,44,72,64,38,40,24,43,54,52,49,59,43,51,N
18/09/2017,Monday,18:31:38,1111.633333,11,15,24,29,44,70,58,36,40,25,43,52,52,50,59,40,51,N
18/09/2017,Monday,18:39:18,1119.3,11,15,22,29,39,69,58,44,40,26,43,54,52,48,82,45,51,N
18/09/2017,Monday,18:47:00,1127,11,13,22,29,39,72,64,36,40,27,43,48,52,49,65,44,51,N
08/08/2017,Tuesday,18:02:00,1082,11,16,25,32,55,66,59,43,40,23,47,52,52,50,80,38,59,N
08/08/2017,Tuesday,18:09:39,1089.65,11,14,25,32,51,69,57,44,46,24,52,53,52,49,80,42,51,N
08/08/2017,Tuesday,18:17:18,1097.3,11,16,25,31,55,70,64,41,40,22,52,52,53,48,70,39,51,N
