date,day,Actual Time,to_minutes,slot,car1,bus1,car2,bus2,car3,bus3,car4,bus4,car5,bus5,car6,bus6,car7,bus7,car8,bus8,Holiday
07/08/2107,Monday,09:02:52,542.8666666667,2,11,25,24,47,60,63,20,38,26,52,33,53,42,98,29,54,N
07/08/2107,Monday,09:10:31,550.5166666667,2,12,25,25,47,60,63,20,40,26,47,30,52,43,60,29,51,N
07/08/2107,Monday,09:18:14,558.2333333333,2,13,34,26,52,63,59,20,33,25,52,30,53,45,60,29,51,N
07/08/2107,Monday,09:25:56,565.9333333333,2,13,25,26,50,66,64,20,46,25,52,30,52,45,65,33,54,N
07/08/2107,Monday,09:38:21,578.35,2,13,25,27,44,64,59,20,46,27,47,31,53,46,98,30,51,N
07/08/2107,Monday,09:41:47,581.7833333333,2,13,25,28,44,64,59,20,46,28,47,29,53,46,98,32,51,N
07/08/2107,Monday,09:49:27,589.45,2,13,25,28,44,67,54,21,40,27,47,30,52,47,61,31,51,N
07/08/2107,Monday,09:57:08,597.1333333333,2,14,25,29,50,68,59,21,46,27,47,28,53,48,61,31,51,N
14/08/2017,Monday,09:00:52,540.8666666667,2,11,25,26,55,67,63,20,44,26,49,29,53,40,98,28,54,N
14/08/2017,Monday,09:08:31,548.5166666667,2,12,25,26,47,68,63,20,37,26,49,28,52,39,60,28,51,N
14/08/2017,Monday,09:16:09,556.15,2,13,34,26,51,65,59,20,31,26,45,25,53,39,60,28,51,N
14/08/2017,Monday,09:23:48,563.8,2,12,25,28,50,64,57,21,46,26,52,24,52,41,65,29,51,N
14/08/2017,Monday,09:31:28,571.4666666667,2,12,25,28,55,66,64,21,46,27,52,24,52,42,65,29,57,N
14/08/2017,Monday,09:39:10,579.1666666667,2,12,25,28,44,63,59,21,46,27,47,24,53,42,98,30,51,N
14/08/2017,Monday,09:46:49,586.8166666667,2,13,25,29,44,60,67,22,40,27,47,23,53,43,98,31,51,N
14/08/2017,Monday,09:54:28,594.4666666667,2,13,25,31,51,64,59,21,44,26,45,24,52,44,61,30,51,N
21/08/2017,Monday,09:05:55,545.9166666667,2,12,25,26,47,79,63,22,37,44,49,43,53,44,60,31,51,N
21/08/2017,Monday,09:13:34,553.5666666667,2,13,25,26,47,80,59,22,31,48,45,39,53,43,60,32,51,N
21/08/2017,Monday,09:21:15,561.25,2,15,25,27,52,81,63,24,37,43,49,38,53,45,60,31,51,N
21/08/2017,Monday,09:28:54,568.9,2,15,25,27,55,86,64,24,44,51,49,35,52,45,65,32,54,N
21/08/2017,Monday,09:36:34,576.5666666667,2,16,25,28,51,76,59,29,44,46,49,35,53,46,82,32,51,N
21/08/2017,Monday,09:44:13,584.2166666667,2,15,25,28,44,79,67,31,37,48,45,29,53,47,73,31,51,N
21/08/2017,Monday,09:51:52,591.8666666667,2,15,25,29,51,81,54,31,37,48,45,31,52,47,61,31,51,N
21/08/2017,Monday,09:59:32,599.5333333333,2,14,25,31,55,79,59,32,44,50,45,30,52,47,61,34,51,N
28/08/2017,Monday,09:01:01,541.0166666667,2,13,26,25,56,73,63,27,44,35,50,30,53,46,69,30,54,N
28/08/2017,Monday,09:08:40,548.6666666667,2,14,26,26,48,71,63,25,37,38,50,34,52,46,58,30,51,N
28/08/2017,Monday,09:16:19,556.3166666667,2,15,35,27,51,71,59,23,31,38,46,33,53,45,58,30,51,N
28/08/2017,Monday,09:23:58,563.9666666667,2,18,26,28,51,74,57,24,44,36,50,34,52,47,59,32,51,N
28/08/2017,Monday,09:31:37,571.6166666667,2,16,21,28,51,75,64,24,44,39,50,34,52,45,59,32,57,N
28/08/2017,Monday,09:39:17,579.2833333333,2,18,21,29,45,75,59,24,44,41,50,34,53,46,58,33,51,N
28/08/2017,Monday,09:46:56,586.9333333333,2,17,21,30,45,76,66,26,37,44,46,35,53,47,58,32,51,N
28/08/2017,Monday,09:54:36,594.6,2,21,21,30,51,76,59,27,44,45,46,37,52,49,55,33,51,N
11/09/2017,Monday,09:02:49,542.8166666667,2,13,26,26,48,68,69,24,37,40,50,40,53,45,69,29,54,N
11/09/2017,Monday,09:10:29,550.4833333333,2,13,26,26,48,72,56,24,37,39,46,41,52,46,58,28,51,N
11/09/2017,Monday,09:18:09,558.15,2,14,35,27,53,69,64,26,31,34,46,43,53,46,58,29,51,N
11/09/2017,Monday,09:25:49,565.8166666667,2,15,26,27,51,73,69,26,44,36,50,41,52,47,59,29,54,N
11/09/2017,Monday,09:33:28,573.4666666667,2,17,21,28,51,70,69,28,44,37,50,40,53,47,59,30,51,N
11/09/2017,Monday,09:41:09,581.15,2,19,21,29,45,71,64,23,44,34,46,36,53,47,58,30,51,N
11/09/2017,Monday,09:49:51,589.85,2,20,21,29,45,66,61,24,37,40,46,35,52,48,55,30,51,N
11/09/2017,Monday,09:57:31,597.5166666667,2,19,21,29,56,64,64,24,44,41,46,33,53,46,55,30,51,N
18/09/2017,Monday,09:07:37,547.6166666667,2,14,22,26,44,71,56,20,40,38,43,45,53,44,79,29,51,N
18/09/2017,Monday,09:15:11,555.1833333333,2,13,22,26,40,71,64,21,40,38,40,40,53,43,79,31,51,N
18/09/2017,Monday,09:22:49,562.8166666667,2,16,22,27,44,72,69,21,40,39,43,43,52,45,79,29,51,N
18/09/2017,Monday,09:30:26,570.4333333333,2,14,22,27,40,68,69,21,40,38,43,42,52,43,79,30,57,N
18/09/2017,Monday,09:38:05,578.0833333333,2,14,26,28,44,71,64,21,40,36,43,41,53,45,79,30,51,N
18/09/2017,Monday,09:47:52,587.8666666667,2,13,25,30,39,72,61,21,40,39,40,37,52,46,79,33,51,N
18/09/2017,Monday,09:55:32,595.5333333333,2,15,22,30,44,69,64,21,40,37,40,36,52,47,79,32,51,N
08/08/2017,Tuesday,09:28:15,568.25,2,14,25,28,55,75,64,22,46,44,52,49,52,47,65,31,54,N
08/08/2017,Tuesday,09:35:54,575.9,2,12,25,29,51,78,59,22,46,44,52,48,53,48,82,31,51,N
08/08/2017,Tuesday,09:43:32,583.5333333333,2,13,25,29,44,78,67,22,40,44,47,47,53,47,73,33,51,N
08/08/2017,Tuesday,09:51:11,591.1833333333,2,14,25,30,55,79,54,22,40,41,47,44,52,51,61,32,51,N
08/08/2017,Tuesday,09:58:47,598.7833333333,2,15,25,32,55,80,59,24,46,41,52,45,52,51,61,32,51,N
22/08/2017,Tuesday,09:01:40,541.6666666667,2,13,25,25,55,76,63,22,46,37,52,42,53,45,98,30,54,N
22/08/2017,Tuesday,09:09:27,549.45,2,12,25,26,47,77,63,23,40,35,47,43,52,45,60,30,51,N
22/08/2017,Tuesday,09:17:12,557.2,2,13,34,27,50,82,59,21,31,40,45,42,53,45,60,31,51,N
22/08/2017,Tuesday,09:24:59,564.9833333333,2,15,25,27,50,78,57,24,44,35,49,42,52,46,65,30,54,N
22/08/2017,Tuesday,09:32:44,572.7333333333,2,12,25,28,51,76,64,25,44,37,49,40,53,47,98,32,57,N
