date,day,actual time,to_minutes,slot,car1,bus1 ,car2,bus2,car3,bus3,car4,bus4,car5,bus5,car6,bus6,car7,bus7,car8,bus8,holiday
25/08/2017,Friday,20:03:44,1203.733333,13,12,26,28,56,70,59,24,44,23,46,66,52,52,59,33,51,Y
25/08/2017,Friday,20:11:24,1211.4,13,11,26,29,57,70,55,24,44,23,50,66,52,53,65,33,51,Y
25/08/2017,Friday,20:19:04,1219.066667,13,11,36,27,56,69,64,24,37,22,50,59,52,52,65,32,51,Y
25/08/2017,Friday,20:26:45,1226.75,13,12,29,26,55,71,59,24,37,22,46,60,52,52,67,32,60,Y
25/08/2017,Friday,20:34:25,1234.416667,13,12,35,29,51,64,64,23,44,23,50,58,52,54,85,32,60,Y
25/08/2017,Friday,20:42:05,1242.083333,13,11,26,28,52,65,63,22,44,22,50,59,52,54,73,32,60,Y
25/08/2017,Friday,20:49:45,1249.75,13,12,37,29,51,56,63,22,44,22,50,62,52,55,67,31,60,Y
05/09/2017,Tuesday,20:21:06,1221.1,13,11,36,28,56,46,64,32,50,26,57,52,52,53,65,75,51,Y
05/09/2017,Tuesday,20:28:51,1228.85,13,11,29,29,51,46,59,24,40,21,52,52,52,53,67,73,60,Y
05/09/2017,Tuesday,20:41:37,1241.616667,13,11,26,29,52,44,64,22,46,20,52,55,52,53,73,76,60,Y
05/09/2017,Tuesday,20:49:20,1249.333333,13,11,38,28,51,47,63,22,46,20,48,48,52,51,67,66,60,Y
05/09/2017,Tuesday,20:57:05,1257.083333,13,11,35,27,52,45,59,22,40,20,48,46,52,51,65,73,60,Y
15/08/2017,Tuesday,20:01:49,1201.816667,13,11,25,28,55,58,59,25,44,26,45,25,52,46,86,36,51,Y
15/08/2017,Tuesday,20:09:28,1209.466667,13,11,25,27,56,60,63,25,46,25,52,25,52,46,95,34,51,Y
15/08/2017,Tuesday,20:22:08,1222.133333,13,11,36,27,55,59,64,24,37,25,45,24,52,44,69,34,51,Y
15/08/2017,Tuesday,20:29:48,1229.8,13,11,34,26,51,56,59,24,37,22,45,25,52,45,86,33,60,Y
15/08/2017,Tuesday,20:37:28,1237.466667,13,11,25,27,52,55,64,24,46,23,52,24,52,44,77,33,60,Y
15/08/2017,Tuesday,20:45:10,1245.166667,13,12,25,26,51,55,63,23,44,25,49,25,52,45,77,33,60,Y
15/08/2017,Tuesday,20:52:49,1252.816667,13,11,36,25,52,51,59,23,40,21,47,24,52,45,64,31,60,Y
12/08/2017,Saturday,20:07:10,1207.166667,13,14,25,29,55,95,59,30,44,26,45,32,52,49,95,41,51,Y
12/08/2017,Saturday,20:14:53,1214.883333,13,16,25,29,52,91,55,28,37,26,49,34,52,50,94,44,51,Y
12/08/2017,Saturday,20:22:37,1222.616667,13,16,36,29,55,89,64,28,37,27,45,33,52,49,69,42,51,Y
12/08/2017,Saturday,20:30:21,1230.35,13,15,34,28,51,87,59,26,37,25,37,33,52,48,86,42,60,Y
12/08/2017,Saturday,20:38:04,1238.066667,13,14,25,28,52,88,64,27,44,26,49,32,52,48,77,41,60,Y
12/08/2017,Saturday,20:45:51,1245.85,13,13,25,27,51,93,63,24,44,26,49,31,52,49,97,41,60,Y
12/08/2017,Saturday,20:53:32,1253.533333,13,12,36,27,52,87,59,23,37,25,45,28,52,49,64,40,60,Y
13/08/2017,Sunday,20:00:28,1200.466667,13,11,25,27,55,64,59,27,46,24,47,29,52,45,86,37,51,Y
13/08/2017,Sunday,20:08:07,1208.116667,13,12,25,26,54,65,63,25,46,24,52,29,52,47,95,37,51,Y
13/08/2017,Sunday,20:15:46,1215.766667,13,12,21,26,52,68,55,24,48,24,52,32,52,45,69,36,51,Y
13/08/2017,Sunday,20:24:30,1224.5,13,12,36,26,55,67,59,24,40,23,47,30,52,46,69,35,51,Y
13/08/2017,Sunday,20:32:15,1232.25,13,11,34,26,51,66,59,23,40,23,39,29,52,43,86,34,60,Y
13/08/2017,Sunday,20:41:05,1241.083333,13,11,25,25,52,65,64,23,46,24,52,30,52,44,79,33,60,Y
13/08/2017,Sunday,20:48:47,1248.783333,13,12,25,26,51,73,63,22,46,25,47,26,52,44,64,32,60,Y
13/08/2017,Sunday,20:56:32,1256.533333,13,11,34,26,52,64,59,22,40,23,47,24,52,43,64,32,60,Y
20/08/2017,Sunday,20:06:19,1206.316667,13,11,25,27,55,51,59,24,44,25,45,26,52,45,95,34,51,Y
20/08/2017,Sunday,20:14:01,1214.016667,13,11,25,26,52,51,55,23,37,24,49,26,52,45,95,34,51,Y
20/08/2017,Sunday,20:21:43,1221.716667,13,12,36,25,55,50,64,23,37,24,45,25,52,46,69,33,51,Y
20/08/2017,Sunday,20:29:25,1229.416667,13,11,34,25,51,53,59,22,37,23,45,25,52,44,86,34,60,Y
20/08/2017,Sunday,20:38:08,1238.133333,13,12,25,25,52,51,64,22,44,22,49,24,52,44,84,33,60,Y
20/08/2017,Sunday,20:45:50,1245.833333,13,12,25,25,51,51,63,21,44,23,49,24,52,43,97,33,60,Y
20/08/2017,Sunday,20:53:33,1253.55,13,11,36,25,52,50,59,20,37,24,45,24,52,43,64,32,60,Y
27/08/2017,Sunday,20:01:52,1201.866667,13,14,26,28,56,71,59,23,44,24,46,29,52,48,59,41,51,Y
27/08/2017,Sunday,20:09:32,1209.533333,13,15,26,29,57,70,63,23,44,23,46,31,52,47,65,40,51,Y
27/08/2017,Sunday,20:17:12,1217.2,13,13,26,28,52,69,55,22,37,22,50,28,52,46,65,43,51,Y
27/08/2017,Sunday,20:24:53,1224.883333,13,12,36,27,56,67,59,23,37,23,46,26,52,46,67,40,60,Y
27/08/2017,Sunday,20:32:34,1232.566667,13,13,35,27,51,73,59,22,37,22,50,27,52,45,85,40,60,Y
27/08/2017,Sunday,20:40:16,1240.266667,13,13,26,26,52,72,64,21,44,22,50,28,52,45,67,38,60,Y
27/08/2017,Sunday,20:47:59,1247.983333,13,14,26,27,51,64,63,21,44,23,50,28,52,45,67,37,60,Y
27/08/2017,Sunday,20:55:40,1255.666667,13,14,35,27,52,63,59,20,37,23,46,28,52,46,65,37,60,Y
03/09/2017,Sunday,20:04:43,1204.716667,13,14,26,28,56,56,59,26,46,23,48,28,52,47,59,36,51,Y
03/09/2017,Sunday,20:12:33,1212.55,13,13,26,27,52,61,55,29,46,22,52,28,52,48,65,36,51,Y
03/09/2017,Sunday,20:20:17,1220.283333,13,12,36,27,56,57,64,29,40,22,48,27,52,46,65,36,51,Y
03/09/2017,Sunday,20:28:31,1228.516667,13,12,29,27,51,57,59,29,40,22,52,26,52,47,67,37,60,Y
