date,Monday,actual time,to_minutes,slot,car1,bus1,car2,bus2,car3,bus3,car4,bus4,car5,bus5,car6,bus6,car7,bus7,car8,bus8,Holiday
07/08/2107,Monday,20:08:08,1208.133333,13,13,25,26,54,81,63,34,46,27,52,31,52,55,95,35,51,N
07/08/2107,Monday,20:15:49,1215.816667,13,13,21,27,52,75,55,34,48,25,52,31,52,55,69,35,51,N
07/08/2107,Monday,20:23:29,1223.483333,13,13,36,27,55,79,63,32,40,24,47,29,52,53,69,32,51,N
07/08/2107,Monday,20:31:11,1231.183333,13,13,34,26,51,74,59,32,40,23,39,30,52,52,86,33,60,N
07/08/2107,Monday,20:38:52,1238.866667,13,13,25,26,52,71,64,31,46,24,52,30,52,50,77,31,60,N
07/08/2107,Monday,20:46:34,1246.566667,13,12,25,26,51,70,63,29,46,23,52,30,52,52,82,34,60,N
07/08/2107,Monday,20:54:16,1254.266667,13,12,34,25,52,67,59,27,40,23,47,28,52,49,64,33,60,N
