date,Actual Time,to_minutes,slot,car1,car2,car3,car4,car5,car6,car7,car8,Holiday
18:42:37,12:01:58,721.9666667,5,24,50,95,35,43,41,74,51,N
18:42:37,12:07:05,727.0833333,5,24,51,93,36,42,41,73,46,N
18:42:37,12:12:14,732.2333333,5,24,49,93,35,41,41,71,46,N
18:42:37,12:17:20,737.3333333,5,24,50,91,35,41,41,72,46,N
18:42:37,12:22:25,742.4166667,5,23,51,89,35,40,41,71,46,N
18:42:37,12:28:33,748.55,5,23,51,87,35,39,41,71,47,N
18:42:37,12:33:43,753.7166667,5,21,51,88,35,37,40,70,46,N
18:42:37,12:38:50,758.8333333,5,21,51,86,34,36,39,70,46,N
18:42:37,12:43:59,763.9833333,5,21,50,85,34,35,39,71,46,N
18:42:37,12:49:07,769.1166667,5,21,49,85,34,35,39,71,49,N
18:42:37,12:54:15,774.25,5,22,50,82,33,35,38,69,46,N
18:42:37,12:59:23,779.3833333,5,21,50,82,33,34,38,68,46,N
25:42:37,12:03:21,723.35,5,24,50,110,35,42,41,73,51,N
25:42:37,12:09:32,729.5333333,5,24,50,111,36,41,41,72,50,N
25:42:37,12:15:46,735.7666667,5,24,50,102,36,40,41,71,51,N
25:42:37,12:21:56,741.9333333,5,23,51,100,36,39,41,71,51,N
25:42:37,12:28:07,748.1166667,5,23,51,99,36,38,41,71,51,N
25:42:37,12:34:16,754.2666667,5,21,51,98,35,36,40,70,50,N
25:42:37,12:40:27,760.45,5,21,51,86,35,35,39,70,50,N
25:42:37,12:47:42,767.7,5,21,49,85,35,34,39,71,49,N
25:42:37,12:53:52,773.8666667,5,22,50,85,34,34,38,69,49,N
20:42:37,12:03:18,723.3,5,23,50,92,34,41,44,76,53,N
20:42:37,12:09:30,729.5,5,23,49,90,35,39,46,74,54,N
20:42:37,12:15:46,735.7666667,5,23,49,89,34,39,45,74,54,N
20:42:37,12:22:00,742,5,23,49,89,34,38,44,74,54,N
20:42:37,12:28:10,748.1666667,5,23,49,88,34,37,44,73,54,N
20:42:37,12:34:21,754.35,5,22,48,88,33,36,44,73,55,N
20:42:37,12:40:38,760.6333333,5,21,48,88,33,35,44,73,55,N
20:42:37,12:46:58,766.9666667,5,21,47,89,33,34,43,73,54,N
20:42:37,12:53:09,773.15,5,21,48,91,33,33,44,74,53,N
20:42:37,12:59:20,779.3333333,5,21,48,89,33,33,43,73,53,N
13:42:37,12:00:35,720.5833333,5,23,50,114,35,40,43,76,53,N
13:42:37,12:03:58,723.9666667,5,23,50,114,35,40,44,76,53,N
13:42:37,12:07:21,727.35,5,23,49,114,35,39,45,75,53,N
13:42:37,12:10:44,730.7333333,5,23,49,113,35,38,46,74,54,N
13:42:37,12:14:07,734.1166667,5,23,49,113,35,37,45,74,48,N
13:42:37,12:17:31,737.5166667,5,24,49,112,35,38,45,74,54,N
13:42:37,12:20:54,740.9,5,23,49,112,35,38,45,74,54,N
13:42:37,12:24:17,744.2833333,5,23,49,113,35,37,45,74,53,N
13:42:37,12:27:40,747.6666667,5,23,49,112,34,36,44,74,54,N
13:42:37,12:31:03,751.05,5,23,48,111,34,36,44,73,54,N
13:42:37,12:34:26,754.4333333,5,22,48,111,33,35,44,73,48,N
13:42:37,12:37:49,757.8166667,5,21,48,110,33,34,44,73,55,N
13:42:37,12:41:13,761.2166667,5,21,48,110,34,34,44,73,54,N
13:42:37,12:44:36,764.6,5,21,47,108,34,33,43,74,54,N
13:42:37,12:47:59,767.9833333,5,21,48,107,34,33,49,73,53,N
13:42:37,12:51:22,771.3666667,5,21,48,108,33,32,49,74,53,N
13:42:37,12:54:45,774.75,5,21,48,108,33,32,49,74,53,N
13:42:37,12:58:08,778.1333333,5,21,48,107,33,32,49,74,53,N
21:42:37,12:03:01,723.0166667,5,24,50,112,36,44,45,73,53,N
21:42:37,12:09:12,729.2,5,23,49,114,36,41,43,74,52,N
21:42:37,12:15:24,735.4,5,23,49,112,36,40,42,74,53,N
21:42:37,12:21:46,741.7666667,5,22,49,112,36,39,43,72,54,N
21:42:37,12:27:57,747.95,5,22,49,113,36,37,42,72,53,N
21:42:37,12:34:10,754.1666667,5,22,49,113,35,37,42,71,54,N
21:42:37,12:40:26,760.4333333,5,22,48,112,34,35,42,71,53,N
21:42:37,12:46:42,766.7,5,22,47,110,34,34,42,74,53,N
21:42:37,12:52:54,772.9,5,22,47,110,33,33,42,74,53,N
21:42:37,12:59:05,779.0833333,5,21,48,90,34,32,42,73,52,N
15:42:37,12:05:06,725.1,5,25,50,111,34,40,50,73,51,N
15:42:37,12:10:09,730.15,5,23,49,112,34,39,44,71,51,N
15:42:37,12:15:22,735.3666667,5,23,49,111,34,38,45,74,51,N
15:42:37,12:20:30,740.5,5,22,49,94,34,38,44,74,52,N
15:42:37,12:25:37,745.6166667,5,22,49,117,34,37,50,75,52,N
15:42:37,12:30:50,750.8333333,5,22,49,113,34,36,50,73,51,N
15:42:37,12:35:57,755.95,5,21,48,111,33,35,49,73,51,N
15:42:37,12:41:00,761,5,20,48,111,34,34,49,71,51,N
15:42:37,12:46:09,766.15,5,20,46,108,33,34,50,71,50,N
15:42:37,12:51:17,771.2833333,5,20,47,106,33,33,51,71,50,N
15:42:37,12:56:24,776.4,5,20,46,110,33,33,50,71,50,N
23:42:37,12:16:26,736.4333333,5,22,51,99,34,34,53,74,49,N
23:42:37,12:22:36,742.6,5,23,51,99,34,34,50,73,49,N
23:42:37,12:28:47,748.7833333,5,23,51,98,35,34,51,72,48,N
23:42:37,12:34:57,754.95,5,22,51,97,34,35,50,71,48,N
23:42:37,12:44:25,764.4166667,5,23,49,95,34,35,52,73,49,N
23:42:37,12:50:38,770.6333333,5,23,48,95,34,35,50,71,49,N
23:42:37,12:56:49,776.8166667,5,23,48,95,34,35,50,71,49,N
16:42:37,12:04:44,724.7333333,5,22,52,118,34,36,47,75,55,N
16:42:37,12:09:51,729.85,5,24,51,118,34,35,48,74,55,N
16:42:37,12:14:58,734.9666667,5,22,51,119,33,35,48,74,54,N
16:42:37,12:20:01,740.0166667,5,23,51,118,33,36,48,74,54,N
16:42:37,12:25:05,745.0833333,5,23,51,120,34,36,51,73,54,N
16:42:37,12:30:12,750.2,5,23,51,118,34,36,51,72,55,N
16:42:37,12:35:30,755.5,5,22,51,121,33,36,54,73,56,N
16:42:37,12:40:42,760.7,5,23,50,122,33,36,54,73,56,N
16:42:37,12:45:50,765.8333333,5,23,49,120,34,36,54,73,49,N
16:42:37,12:50:59,770.9833333,5,23,48,95,34,36,56,71,49,N
16:42:37,12:56:17,776.2833333,5,23,48,120,34,36,55,71,49,N
17:42:37,12:04:17,724.2833333,5,18,42,72,32,34,35,66,46,Y
17:42:37,12:09:25,729.4166667,5,18,43,72,32,35,36,66,46,Y
17:42:37,12:14:33,734.55,5,19,43,72,32,35,36,67,46,Y
17:42:37,12:19:41,739.6833333,5,19,44,73,32,35,36,66,46,Y
17:42:37,12:24:48,744.8,5,18,44,73,32,35,36,64,46,Y
17:42:37,12:29:57,749.95,5,18,43,74,32,35,36,64,46,Y
17:42:37,12:35:05,755.0833333,5,18,43,69,32,35,35,63,46,Y
17:42:37,12:40:10,760.1666667,5,18,43,72,32,35,36,64,45,Y
17:42:37,12:45:22,765.3666667,5,18,43,72,32,35,36,64,45,Y
17:42:37,12:53:53,773.8833333,5,18,43,71,32,35,36,62,45,Y
17:42:37,12:59:01,779.0166667,5,19,42,72,32,35,36,62,45,Y
24:42:37,12:05:13,725.2166667,5,19,42,69,32,34,35,66,46,N
24:42:37,12:11:24,731.4,5,19,42,72,33,33,36,66,46,N
24:42:37,12:17:39,737.65,5,19,44,73,33,34,36,67,46,N
24:42:37,12:24:48,744.8,5,18,44,73,32,35,36,64,46,N
24:42:37,12:34:12,754.2,5,18,43,73,33,34,35,63,46,N
24:42:37,12:40:24,760.4,5,18,43,72,33,34,35,64,45,N
24:42:37,12:46:35,766.5833333,5,18,43,76,32,35,36,64,45,N
24:42:37,12:52:49,772.8166667,5,18,42,73,33,34,36,62,45,N
24:42:37,12:59:01,779.0166667,5,19,42,74,32,34,36,62,45,N
