date,Actual Time,to_minutes,slot,car1,car2,car3,car4,car5,car6,car7,car8,Holiday
18:42:37,15:00:31,900.5166667,8,22,46,79,32,31,34,66,48,N
18:42:37,15:05:38,905.6333333,8,23,46,80,32,31,34,65,48,N
18:42:37,15:11:54,911.9,8,23,46,81,31,31,34,65,47,N
18:42:37,15:17:01,917.0166667,8,22,46,81,31,31,34,66,47,N
18:42:37,15:22:11,922.1833333,8,22,46,100,31,31,34,67,47,N
18:42:37,15:27:19,927.3166667,8,22,46,83,30,31,34,67,47,N
18:42:37,15:32:26,932.4333333,8,22,47,100,30,31,34,67,47,N
18:42:37,15:37:34,937.5666667,8,22,48,99,30,31,35,67,46,N
18:42:37,15:42:42,942.7,8,22,47,84,31,31,35,67,45,N
18:42:37,15:47:49,947.8166667,8,22,48,83,32,31,35,66,45,N
18:42:37,15:52:57,952.95,8,23,47,86,32,31,36,66,45,N
18:42:37,15:58:05,958.0833333,8,22,47,87,31,31,36,66,45,N
25:42:37,15:03:37,903.6166667,8,23,46,80,32,30,34,66,48,N
25:42:37,15:09:48,909.8,8,23,46,80,32,29,34,65,47,N
25:42:37,15:15:59,915.9833333,8,23,46,82,32,30,34,66,47,N
25:42:37,15:22:09,922.15,8,22,46,83,32,30,34,67,47,N
25:42:37,15:28:19,928.3166667,8,23,46,83,31,30,34,68,47,N
25:42:37,15:53:37,953.6166667,8,23,47,84,32,30,36,66,45,N
25:42:37,15:59:48,959.8,8,22,47,87,32,30,37,67,46,N
19:42:37,15:00:00,900,8,20,45,99,30,31,36,71,47,N
19:42:37,15:06:21,906.35,8,20,45,99,31,31,35,71,47,N
19:42:37,15:12:31,912.5166667,8,20,45,96,31,31,36,70,47,N
19:42:37,15:18:43,918.7166667,8,20,46,98,31,31,36,69,47,N
19:42:37,15:24:55,924.9166667,8,21,45,98,31,30,37,68,46,N
19:42:37,15:31:03,931.05,8,21,46,99,31,30,37,68,46,N
19:42:37,15:37:15,937.25,8,21,45,98,31,30,38,67,45,N
19:42:37,15:43:28,943.4666667,8,21,45,99,31,31,37,67,50,N
19:42:37,15:49:40,949.6666667,8,21,46,103,32,31,38,67,45,N
19:42:37,15:55:54,955.9,8,21,46,99,32,31,39,68,45,N
26:42:37,15:47:12,947.2,8,21,46,100,32,30,37,67,45,N
26:42:37,15:53:23,953.3833333,8,21,46,83,32,30,43,67,45,N
26:42:37,15:59:33,959.55,8,21,46,83,32,30,42,68,45,N
20:42:37,15:03:04,903.0666667,8,21,43,82,31,31,41,69,54,N
20:42:37,15:09:14,909.2333333,8,21,43,82,31,31,40,69,48,N
20:42:37,15:15:26,915.4333333,8,20,44,84,31,31,40,69,49,N
20:42:37,15:21:43,921.7166667,8,20,44,83,30,31,40,68,54,N
20:42:37,15:27:53,927.8833333,8,20,45,83,30,31,40,70,48,N
20:42:37,15:34:04,934.0666667,8,20,45,84,31,31,39,69,53,N
20:42:37,15:40:11,940.1833333,8,21,44,87,31,31,41,69,52,N
20:42:37,15:46:22,946.3666667,8,21,44,88,31,31,41,68,52,N
20:42:37,15:52:32,952.5333333,8,21,44,88,31,31,42,70,53,N
20:42:37,15:58:42,958.7,8,21,44,87,32,32,42,69,52,N
21:42:37,15:03:08,903.1333333,8,21,45,79,32,30,37,68,47,N
21:42:37,15:09:19,909.3166667,8,21,44,96,32,30,37,68,49,N
21:42:37,15:15:31,915.5166667,8,22,44,83,32,30,38,68,49,N
21:42:37,15:21:42,921.7,8,22,44,81,31,30,39,67,48,N
21:42:37,15:27:48,927.8,8,21,46,83,31,30,38,67,47,N
21:42:37,15:34:00,934,8,23,45,85,31,30,38,67,47,N
21:42:37,15:40:17,940.2833333,8,22,45,97,32,30,39,70,52,N
21:42:37,15:46:29,946.4833333,8,22,45,99,32,30,40,69,47,N
21:42:37,15:52:41,952.6833333,8,22,45,100,33,31,41,70,48,N
21:42:37,15:58:52,958.8666667,8,22,44,101,32,31,45,68,47,N
15:42:37,15:01:46,901.7666667,8,22,44,81,32,32,48,70,51,N
15:42:37,15:06:52,906.8666667,8,22,44,79,32,32,43,68,52,N
15:42:37,15:11:58,911.9666667,8,22,44,79,32,32,49,67,52,N
15:42:37,15:17:06,917.1,8,22,44,81,32,32,51,66,52,N
15:42:37,15:22:14,922.2333333,8,22,45,80,31,32,50,67,52,N
15:42:37,15:50:30,950.5,8,24,46,82,32,32,52,69,51,N
15:42:37,15:55:37,955.6166667,8,23,46,83,33,32,52,69,45,N
16:42:37,15:00:52,900.8666667,8,24,45,88,33,34,45,64,49,N
16:42:37,15:06:05,906.0833333,8,23,45,105,33,33,45,64,49,N
16:42:37,15:11:13,911.2166667,8,22,46,99,32,33,44,64,50,N
16:42:37,15:16:23,916.3833333,8,22,46,99,32,34,43,63,50,N
16:42:37,15:21:45,921.75,8,22,45,95,32,34,43,63,50,N
16:42:37,15:26:48,926.8,8,22,45,98,32,33,43,65,50,N
16:42:37,15:32:01,932.0166667,8,22,46,98,32,33,42,65,50,N
16:42:37,15:37:08,937.1333333,8,23,46,99,31,34,43,66,49,N
16:42:37,15:42:11,942.1833333,8,23,46,101,32,34,43,67,49,N
16:42:37,15:47:18,947.3,8,23,46,100,33,34,43,66,49,N
16:42:37,15:52:26,952.4333333,8,23,46,106,34,34,43,66,49,N
16:42:37,15:57:29,957.4833333,8,23,46,107,38,32,43,67,48,N
23:42:37,15:00:12,900.2,8,24,45,87,33,35,49,64,50,N
23:42:37,15:06:27,906.45,8,23,45,93,33,33,49,64,49,N
23:42:37,15:12:38,912.6333333,8,22,46,95,32,33,44,64,50,N
23:42:37,15:18:48,918.8,8,22,46,96,32,33,43,63,50,N
23:42:37,15:24:58,924.9666667,8,22,45,98,32,33,43,64,50,N
23:42:37,15:31:11,931.1833333,8,22,46,97,31,34,50,65,50,N
23:42:37,15:37:22,937.3666667,8,23,46,99,31,34,50,66,49,N
23:42:37,15:43:32,943.5333333,8,23,46,100,32,34,50,67,49,N
23:42:37,15:49:43,949.7166667,8,23,46,116,34,33,48,66,48,N
23:42:37,15:56:02,956.0333333,8,23,46,116,34,32,43,67,48,N
17:42:37,15:00:43,900.7166667,8,18,39,70,32,34,31,58,44,Y
17:42:37,15:05:52,905.8666667,8,18,37,70,31,33,31,59,44,Y
17:42:37,15:11:05,911.0833333,8,18,38,69,31,33,31,59,45,Y
17:42:37,15:16:23,916.3833333,8,18,38,70,31,32,32,59,45,Y
17:42:37,15:24:53,924.8833333,8,17,38,70,31,32,32,59,45,Y
17:42:37,15:30:02,930.0333333,8,17,38,74,31,32,32,59,45,Y
17:42:37,15:35:11,935.1833333,8,17,38,76,31,32,32,59,45,Y
17:42:37,15:40:18,940.3,8,18,39,76,31,31,32,60,44,Y
17:42:37,15:48:50,948.8333333,8,18,39,77,32,32,32,62,44,Y
17:42:37,15:53:59,953.9833333,8,18,39,78,31,33,32,62,44,Y
17:42:37,15:59:33,959.55,8,18,38,78,31,33,32,63,44,Y
