date,Monday,actual time,to_minutes,slot,car1,bus1,car2,bus2,car3,bus3,car4,bus4,car5,bus5,car6,bus6,car7,bus7,car8,bus8,Holiday
07/08/2107,Monday,16:03:12,963.2,9,13,25,30,55,74,63,21,46,20,39,42,52,44,62,36,64,N
07/08/2107,Monday,16:10:53,970.8833333,9,16,25,31,51,70,59,21,46,20,39,41,52,44,76,33,51,N
07/08/2107,Monday,16:18:36,978.6,9,14,25,29,55,71,59,21,40,20,39,40,52,44,62,32,51,N
07/08/2107,Monday,16:26:17,986.2833333,9,15,34,28,55,73,63,21,40,20,47,38,52,44,62,32,65,N
07/08/2107,Monday,16:33:59,993.9833333,9,16,25,28,44,73,64,21,46,20,47,43,52,45,98,32,60,N
07/08/2107,Monday,16:41:41,1001.683333,9,15,25,27,52,74,69,21,46,20,39,44,52,46,98,33,57,N
07/08/2107,Monday,16:49:22,1009.366667,9,17,25,28,51,75,59,22,46,21,39,44,52,45,91,33,57,N
07/08/2107,Monday,16:57:02,1017.033333,9,15,25,28,55,72,69,22,46,21,52,45,52,48,98,33,57,N
14/08/2017,Monday,16:31:23,991.3833333,9,14,25,29,51,63,63,21,37,21,45,29,52,41,65,36,60,N
14/08/2017,Monday,16:37:56,997.9333333,9,13,25,29,44,65,55,22,44,21,45,30,52,42,98,34,62,N
14/08/2017,Monday,16:45:34,1005.566667,9,13,25,29,55,71,59,20,44,22,49,33,52,42,91,35,57,N
14/08/2017,Monday,16:58:16,1018.266667,9,14,25,29,52,71,57,22,44,22,49,35,52,43,98,36,57,N
21/08/2017,Monday,16:00:50,960.8333333,9,15,21,29,55,60,64,20,44,21,49,29,52,45,62,34,64,N
21/08/2017,Monday,16:08:29,968.4833333,9,14,25,29,51,64,57,21,44,21,49,28,52,46,76,35,51,N
21/08/2017,Monday,16:16:11,976.1833333,9,14,25,29,55,64,59,21,37,20,49,33,52,44,62,34,51,N
21/08/2017,Monday,16:23:50,983.8333333,9,16,25,29,55,62,63,23,37,21,45,32,52,44,62,34,51,N
21/08/2017,Monday,16:31:33,991.55,9,15,25,28,51,65,63,22,37,21,45,34,52,44,65,36,60,N
21/08/2017,Monday,16:39:13,999.2166667,9,15,25,29,44,65,55,22,44,21,45,34,52,45,98,36,62,N
21/08/2017,Monday,16:46:53,1006.883333,9,15,25,30,51,66,59,22,44,21,49,35,52,44,91,36,57,N
21/08/2017,Monday,16:54:33,1014.55,9,15,25,29,55,66,59,22,44,22,49,39,52,44,98,37,57,N
11/09/2017,Monday,16:06:03,966.05,9,17,26,29,56,59,69,20,44,20,50,30,52,44,55,34,51,N
11/09/2017,Monday,16:13:44,973.7333333,9,18,26,29,56,59,64,20,37,21,50,30,52,43,55,33,51,N
11/09/2017,Monday,16:21:24,981.4,9,18,26,28,56,61,64,21,37,21,46,33,52,44,55,35,51,N
11/09/2017,Monday,16:29:05,989.0833333,9,18,35,28,51,63,69,21,37,21,46,36,52,45,55,34,65,N
11/09/2017,Monday,16:36:46,996.7666667,9,20,26,28,45,63,69,21,44,21,46,38,52,45,59,33,62,N
11/09/2017,Monday,16:44:26,1004.433333,9,18,26,30,56,63,64,21,44,22,50,41,52,48,96,34,57,N
11/09/2017,Monday,16:52:07,1012.116667,9,15,26,30,51,62,64,21,44,22,50,39,52,48,69,34,57,N
11/09/2017,Monday,16:59:48,1019.8,9,17,26,32,52,63,73,21,44,22,50,42,52,47,96,33,57,N
18/09/2017,Monday,16:24:26,984.4333333,9,15,24,30,44,55,69,21,40,21,40,32,52,48,55,33,51,N
18/09/2017,Monday,16:32:11,992.1833333,9,15,24,29,39,58,69,21,40,20,40,32,52,50,55,33,60,N
18/09/2017,Monday,16:39:58,999.9666667,9,14,27,29,39,57,64,21,40,21,43,37,52,49,79,32,62,N
18/09/2017,Monday,16:51:45,1011.75,9,14,22,29,44,59,64,20,40,22,43,38,52,50,79,34,57,N
08/08/2017,Tuesday,16:06:18,966.3,9,14,25,28,55,61,63,21,46,19,39,30,52,47,62,34,51,N
08/08/2017,Tuesday,16:13:57,973.95,9,15,25,29,55,63,59,21,40,20,39,31,52,48,62,36,51,N
08/08/2017,Tuesday,16:21:36,981.6,9,14,25,29,55,63,59,21,40,20,47,33,52,46,62,36,51,N
08/08/2017,Tuesday,16:29:15,989.25,9,14,34,29,51,64,63,21,40,21,47,32,52,45,65,33,65,N
08/08/2017,Tuesday,16:36:54,996.9,9,14,25,28,44,64,63,21,46,21,47,35,52,46,98,37,62,N
08/08/2017,Tuesday,16:44:33,1004.55,9,15,25,28,55,67,59,21,46,21,39,35,52,47,91,36,57,N
08/08/2017,Tuesday,16:52:13,1012.216667,9,14,25,30,55,68,59,21,46,21,52,37,52,49,98,34,57,N
08/08/2017,Tuesday,16:59:53,1019.883333,9,17,25,30,52,65,67,22,46,21,47,37,52,47,98,33,57,N
22/08/2017,Tuesday,16:06:40,966.6666667,9,13,25,28,55,61,63,21,44,20,49,31,52,45,76,35,51,N
22/08/2017,Tuesday,16:14:21,974.35,9,14,25,28,55,62,59,22,37,21,49,32,52,44,62,34,51,N
22/08/2017,Tuesday,16:27:02,987.0333333,9,15,34,29,51,62,63,27,37,21,45,34,52,45,62,34,65,N
22/08/2017,Tuesday,16:34:46,994.7666667,9,17,25,28,44,66,64,24,44,21,45,38,52,43,98,33,60,N
22/08/2017,Tuesday,16:42:27,1002.45,9,15,25,29,55,67,59,24,44,21,49,44,52,44,91,35,57,N
22/08/2017,Tuesday,16:50:07,1010.116667,9,15,25,29,51,68,59,24,44,22,37,43,52,45,91,35,57,N
22/08/2017,Tuesday,16:57:46,1017.766667,9,16,25,29,52,68,69,25,44,22,49,44,52,47,98,35,57,N
29/08/2017,Tuesday,16:03:44,963.7333333,9,15,26,30,56,66,63,23,46,21,52,33,52,48,55,39,51,N
29/08/2017,Tuesday,16:11:23,971.3833333,9,13,26,31,51,70,59,23,46,21,52,35,52,48,55,36,51,N
29/08/2017,Tuesday,16:19:02,979.0333333,9,14,26,30,56,74,59,23,40,21,48,43,52,47,55,37,51,N
29/08/2017,Tuesday,16:26:42,986.7,9,14,28,30,51,72,63,23,40,21,48,46,52,46,55,36,65,N
29/08/2017,Tuesday,16:34:22,994.3666667,9,13,26,31,45,71,64,23,46,22,48,39,52,47,59,39,60,N
29/08/2017,Tuesday,16:42:03,1002.05,9,15,26,31,52,73,59,23,46,22,52,41,52,47,96,36,57,N
29/08/2017,Tuesday,16:49:43,1009.716667,9,16,26,32,51,73,59,24,46,22,52,41,52,48,91,38,57,N
29/08/2017,Tuesday,16:57:26,1017.433333,9,16,26,31,53,70,69,25,46,22,52,42,52,46,69,38,57,N
12/09/2017,Tuesday,16:03:10,963.1666667,9,15,26,27,56,56,69,20,44,20,50,28,52,47,55,34,64,N
12/09/2017,Tuesday,16:10:50,970.8333333,9,14,26,28,51,61,61,21,44,21,50,29,52,47,55,34,51,N
