date,Actual Time,to_minutes,slot,car1,car2,car3,car4,car5,car6,car7,car8,Holiday
25:42:37,16:05:59,965.9833333,9,23,46,87,33,31,37,68,46,N
25:42:37,16:12:08,972.1333333,9,23,46,88,33,31,37,69,46,N
25:42:37,16:18:20,978.3333333,9,22,47,86,33,31,38,68,46,N
25:42:37,16:24:34,984.5666667,9,22,49,103,33,31,39,67,47,N
25:42:37,16:30:45,990.75,9,22,49,88,32,31,39,67,47,N
25:42:37,16:37:00,997,9,22,48,85,33,32,40,69,48,N
25:42:37,16:43:15,1003.25,9,28,48,86,33,32,41,70,48,N
25:42:37,16:49:32,1009.533333,9,24,48,86,34,32,44,70,48,N
25:42:37,16:55:49,1015.816667,9,24,49,89,36,33,49,70,48,N
18:42:37,16:03:13,963.2166667,9,23,46,87,32,31,37,67,46,N
18:42:37,16:08:21,968.35,9,23,46,84,32,32,37,69,46,N
18:42:37,16:13:29,973.4833333,9,23,46,88,32,32,37,68,46,N
18:42:37,16:16:56,976.9333333,9,23,47,86,32,32,37,68,46,N
18:42:37,16:18:33,978.55,9,22,48,87,32,32,38,68,46,N
18:42:37,16:24:42,984.7,9,22,49,84,32,32,39,67,47,N
18:42:37,16:30:55,990.9166667,9,22,48,87,32,32,39,67,47,N
18:42:37,16:37:05,997.0833333,9,22,48,105,32,33,40,69,48,N
18:42:37,16:43:16,1003.266667,9,23,48,85,33,33,41,70,48,N
18:42:37,16:49:27,1009.45,9,24,48,86,33,33,44,70,48,N
18:42:37,16:55:38,1015.633333,9,24,49,88,35,34,47,70,48,N
26:42:37,16:09:12,969.2,9,21,46,86,33,30,44,70,45,N
26:42:37,16:15:27,975.45,9,21,46,86,33,31,44,70,51,N
26:42:37,16:21:39,981.65,9,20,46,107,32,31,47,70,47,N
26:42:37,16:27:49,987.8166667,9,21,47,87,32,32,46,70,46,N
26:42:37,16:33:58,993.9666667,9,21,47,88,32,32,50,71,47,N
26:42:37,16:40:08,1000.133333,9,21,48,88,33,33,49,72,47,N
26:42:37,16:46:19,1006.316667,9,21,48,88,33,33,52,71,48,N
26:42:37,16:52:29,1012.483333,9,22,47,91,35,35,51,70,47,N
26:42:37,16:58:39,1018.65,9,22,48,93,35,35,51,71,48,N
19:42:37,16:02:06,962.1,9,21,46,102,32,31,39,68,45,N
19:42:37,16:08:18,968.3,9,21,46,85,33,31,40,70,45,N
19:42:37,16:14:31,974.5166667,9,21,46,85,32,32,40,71,51,N
19:42:37,16:20:44,980.7333333,9,21,46,84,32,32,41,71,51,N
19:42:37,16:27:02,987.0333333,9,21,47,85,32,33,43,70,52,N
19:42:37,16:33:13,993.2166667,9,21,48,85,31,33,45,71,46,N
19:42:37,16:39:25,999.4166667,9,21,48,86,32,34,47,71,47,N
19:42:37,16:45:37,1005.616667,9,21,49,86,32,34,48,72,47,N
19:42:37,16:51:49,1011.816667,9,22,49,86,34,36,50,70,47,N
19:42:37,16:58:00,1018,9,22,48,88,35,36,51,71,48,N
20:42:37,16:04:56,964.9333333,9,21,45,88,32,32,42,69,52,N
20:42:37,16:11:11,971.1833333,9,21,45,87,33,32,43,70,52,N
20:42:37,16:17:22,977.3666667,9,26,46,88,33,32,44,70,52,N
20:42:37,16:23:33,983.55,9,23,46,87,33,32,45,69,53,N
20:42:37,16:29:43,989.7166667,9,24,47,87,32,32,45,70,49,N
20:42:37,16:35:53,995.8833333,9,28,47,86,32,33,51,70,53,N
20:42:37,16:42:00,1002,9,25,48,88,33,34,52,69,53,N
20:42:37,16:48:10,1008.166667,9,25,48,90,33,34,54,69,54,N
20:42:37,16:54:20,1014.333333,9,25,47,91,34,37,55,70,54,N
21:42:37,16:05:03,965.05,9,21,45,102,32,31,42,68,47,N
21:42:37,16:11:13,971.2166667,9,22,46,102,33,32,44,68,47,N
21:42:37,16:37:07,997.1166667,9,23,46,87,33,32,49,68,49,N
21:42:37,16:43:26,1003.433333,9,24,45,92,33,33,50,68,50,N
21:42:37,16:49:46,1009.766667,9,24,47,91,34,33,56,70,50,N
