date,Actual Time,to_minutes,slot,car1,car2,car3,car4,car5,car6,car7,car8,Holiday
18:42:37,08:02:55,482.9166667,1,15,33,94,30,44,46,64,40,N
18:42:37,08:08:02,488.0333333,1,15,34,97,30,47,49,66,40,N
18:42:37,08:13:05,493.0833333,1,15,34,100,30,49,49,67,40,N
18:42:37,08:18:13,498.2166667,1,15,34,102,31,50,40,67,40,N
18:42:37,08:23:20,503.3333333,1,15,34,101,31,51,40,64,40,N
18:42:37,08:28:23,508.3833333,1,16,35,103,32,54,40,65,39,N
18:42:37,08:33:30,513.5,1,16,37,105,32,55,42,65,39,N
18:42:37,08:38:37,518.6166667,1,17,38,105,32,56,42,65,40,N
18:42:37,08:43:42,523.7,1,17,39,106,33,56,42,66,40,N
18:42:37,08:48:49,528.8166667,1,17,39,107,34,57,42,65,40,N
18:42:37,08:53:56,533.9333333,1,18,40,108,34,56,41,66,41,N
18:42:37,08:59:03,539.05,1,18,40,108,34,57,42,67,41,N
25:42:37,08:05:27,485.45,1,15,33,98,30,44,36,64,40,N
25:42:37,08:11:36,491.6,1,15,34,100,30,47,38,66,40,N
25:42:37,08:17:46,497.7666667,1,15,34,103,32,48,40,67,40,N
25:42:37,08:23:56,503.9333333,1,16,35,100,32,50,40,64,40,N
25:42:37,08:30:11,510.1833333,1,16,35,101,33,53,52,65,39,N
25:42:37,08:36:22,516.3666667,1,17,37,105,33,55,42,65,40,N
25:42:37,08:42:32,522.5333333,1,17,39,106,33,55,42,66,40,N
25:42:37,08:48:43,528.7166667,1,17,39,107,35,55,53,65,40,N
25:42:37,08:54:52,534.8666667,1,18,39,109,35,55,54,66,41,N
26:42:37,08:04:22,484.3666667,1,15,33,93,30,47,46,68,41,N
26:42:37,08:10:31,490.5166667,1,15,34,97,30,50,38,70,41,N
26:42:37,08:16:41,496.6833333,1,15,34,99,32,53,41,72,40,N
26:42:37,08:22:51,502.85,1,15,34,103,34,57,41,70,40,N
26:42:37,08:29:00,509,1,15,35,102,34,58,42,69,40,N
26:42:37,08:35:10,515.1666667,1,16,37,102,34,59,43,69,40,N
26:42:37,08:41:19,521.3166667,1,16,37,105,34,59,43,70,40,N
26:42:37,08:47:30,527.5,1,17,38,105,34,61,44,71,40,N
26:42:37,08:53:42,533.7,1,17,39,104,35,61,43,70,40,N
26:42:37,08:59:53,539.8833333,1,18,39,106,35,59,44,70,41,N
20:42:37,08:02:27,482.45,1,15,33,94,32,48,32,69,42,N
20:42:37,08:08:37,488.6166667,1,15,33,102,32,53,35,69,42,N
20:42:37,08:14:46,494.7666667,1,16,34,101,33,55,36,70,41,N
20:42:37,08:20:56,500.9333333,1,16,35,98,34,57,39,68,41,N
20:42:37,08:27:05,507.0833333,1,16,36,99,34,59,40,66,41,N
20:42:37,08:33:14,513.2333333,1,16,37,99,34,61,41,65,41,N
20:42:37,08:39:19,519.3166667,1,17,38,97,35,62,43,66,41,N
20:42:37,08:45:29,525.4833333,1,17,39,98,35,61,44,67,41,N
20:42:37,08:51:38,531.6333333,1,17,39,97,35,63,44,66,42,N
20:42:37,08:57:49,537.8166667,1,17,40,95,36,62,42,65,42,N
27:42:37,08:04:38,484.6333333,1,15,33,94,33,48,36,68,43,N
27:42:37,08:11:48,491.8,1,16,34,98,34,54,37,69,42,N
27:42:37,08:17:58,497.9666667,1,16,35,102,34,55,39,69,41,N
27:42:37,08:24:09,504.15,1,16,35,104,35,57,41,67,41,N
27:42:37,08:30:19,510.3166667,1,16,36,104,35,58,43,66,41,N
27:42:37,08:36:28,516.4666667,1,16,38,104,36,60,42,66,42,N
27:42:37,08:42:37,522.6166667,1,17,39,106,36,60,43,65,41,N
27:42:37,08:48:49,528.8166667,1,17,39,105,36,60,44,67,42,N
27:42:37,08:55:01,535.0166667,1,17,39,106,36,61,43,65,42,N
14:42:37,08:02:23,482.3833333,1,15,34,95,32,50,35,68,43,N
14:42:37,08:07:25,487.4166667,1,15,35,97,33,52,36,68,43,N
14:42:37,08:12:29,492.4833333,1,15,35,96,34,49,39,68,43,N
14:42:37,08:17:31,497.5166667,1,15,35,97,33,57,41,68,43,N
14:42:37,08:22:33,502.55,1,16,36,102,34,52,41,66,43,N
14:42:37,08:27:36,507.6,1,16,36,105,34,59,41,65,41,N
14:42:37,08:32:39,512.65,1,16,38,105,36,53,43,65,41,N
14:42:37,08:37:41,517.6833333,1,17,38,104,37,55,43,64,41,N
14:42:37,08:42:44,522.7333333,1,17,38,104,37,56,44,65,41,N
14:42:37,08:47:47,527.7833333,1,17,39,103,37,57,44,65,42,N
14:42:37,08:52:50,532.8333333,1,18,40,105,36,65,43,65,41,N
14:42:37,08:57:53,537.8833333,1,17,40,101,36,59,54,64,41,N
21:42:37,08:13:06,493.1,1,15,35,98,35,53,39,68,43,N
21:42:37,08:19:18,499.3,1,16,35,103,34,54,41,67,43,N
21:42:37,08:25:29,505.4833333,1,16,36,106,35,55,41,64,42,N
21:42:37,08:31:40,511.6666667,1,16,37,107,36,60,43,64,41,N
21:42:37,08:37:46,517.7666667,1,17,38,106,38,58,43,64,41,N
21:42:37,08:43:58,523.9666667,1,17,38,104,38,59,44,65,42,N
21:42:37,08:50:09,530.15,1,17,39,104,37,61,43,64,41,N
21:42:37,08:56:15,536.25,1,17,40,106,37,64,43,65,41,N
28:42:37,08:05:23,485.3833333,1,15,35,95,33,50,37,67,43,N
28:42:37,08:11:33,491.55,1,16,35,98,34,53,40,67,43,N
28:42:37,08:17:44,497.7333333,1,16,35,104,34,56,42,68,43,N
28:42:37,08:23:59,503.9833333,1,16,36,107,34,59,42,65,43,N
28:42:37,08:30:09,510.15,1,16,37,108,36,61,45,65,41,N
28:42:37,08:36:19,516.3166667,1,16,38,106,37,64,45,63,42,N
28:42:37,08:42:30,522.5,1,17,39,106,38,63,44,64,42,N
28:42:37,08:48:42,528.7,1,17,39,106,38,64,44,64,42,N
28:42:37,08:54:51,534.85,1,18,40,106,37,65,43,64,42,N
15:42:37,08:30:08,510.1333333,1,16,36,100,34,56,43,66,40,N
15:42:37,08:35:15,515.25,1,16,37,102,33,59,42,66,40,N
15:42:37,08:40:17,520.2833333,1,17,38,101,34,57,42,66,40,N
15:42:37,08:45:25,525.4166667,1,17,38,102,34,57,43,67,40,N
15:42:37,08:50:33,530.55,1,17,39,104,34,58,43,67,41,N
15:42:37,08:55:35,535.5833333,1,17,40,101,34,58,42,67,41,N
22:42:37,08:01:51,481.85,1,15,34,92,31,46,36,68,40,N
22:42:37,08:08:01,488.0166667,1,15,34,97,32,47,51,69,41,N
22:42:37,08:14:12,494.2,1,15,35,98,33,50,51,70,40,N
22:42:37,08:20:22,500.3666667,1,15,35,99,34,52,52,67,40,N
22:42:37,08:26:32,506.5333333,1,16,35,99,34,54,52,66,40,N
22:42:37,08:32:38,512.6333333,1,16,36,104,34,55,55,65,40,N
22:42:37,08:38:48,518.8,1,17,38,101,34,57,56,66,40,N
22:42:37,08:46:12,526.2,1,17,39,101,35,56,43,67,40,N
22:42:37,08:52:22,532.3666667,1,17,39,101,34,57,55,67,41,N
22:42:37,08:58:33,538.55,1,18,40,101,34,57,55,67,41,N
16:42:37,08:28:33,508.55,1,16,35,59,27,27,27,64,39,N
16:42:37,08:33:36,513.6,1,16,36,60,28,27,27,64,39,N
16:42:37,08:38:43,518.7166667,1,16,35,61,28,27,27,65,39,N
16:42:37,08:43:50,523.8333333,1,16,36,62,29,27,27,66,39,N
16:42:37,08:48:52,528.8666667,1,16,37,62,29,27,27,66,39,N
16:42:37,08:53:59,533.9833333,1,17,38,62,29,27,28,65,39,N
16:42:37,08:59:06,539.1,1,16,38,63,29,27,28,66,40,N
23:42:37,08:49:49,529.8166667,1,16,37,61,29,27,27,65,39,N
23:42:37,08:55:59,535.9833333,1,16,38,63,29,27,28,64,40,N
17:42:37,08:44:17,524.2833333,1,15,34,53,27,27,27,54,38,Y
17:42:37,08:49:24,529.4,1,15,35,53,27,27,27,56,38,Y
17:42:37,08:54:31,534.5166667,1,16,36,54,27,27,27,57,38,Y
17:42:37,08:59:37,539.6166667,1,15,36,55,27,27,27,58,39,Y
24:42:37,08:17:01,497.0166667,1,15,32,52,27,26,26,53,37,N
24:42:37,08:23:13,503.2166667,1,15,32,51,28,26,26,53,37,N
24:42:37,08:29:23,509.3833333,1,15,33,51,27,26,26,54,38,N
24:42:37,08:35:32,515.5333333,1,15,34,52,27,26,26,54,38,N
24:42:37,08:41:42,521.7,1,15,34,53,27,27,27,54,38,N
24:42:37,08:47:51,527.85,1,15,34,53,27,27,27,55,38,N
24:42:37,08:54:01,534.0166667,1,16,36,54,27,27,27,57,38,N
