date,day,actual time,to_minutes,slot,car1,bus1 ,car2,bus2,car3,bus3,car4,bus4,car5,bus5,car6,bus6,car7,bus7,car8,bus8,holiday
15/08/2017,Tuesday,08:40:34,520.5666667,1,9,25,22,55,41,63,18,44,21,49,24,52,39,69,27,54,Y
15/08/2017,Tuesday,08:48:13,528.2166667,1,11,25,23,55,41,59,18,44,21,49,24,52,40,98,27,51,Y
15/08/2017,Tuesday,08:55:53,535.8833333,1,10,25,24,51,42,59,18,44,21,45,23,52,40,69,28,54,Y
25/08/2017,Friday,08:31:07,511.1166667,1,9,26,22,56,39,59,18,44,21,50,31,52,45,64,27,54,Y
12/08/2017,Saturday,08:01:29,481.4833333,1,9,25,21,52,41,64,17,46,19,39,22,52,37,98,28,51,Y
12/08/2017,Saturday,08:09:08,489.1333333,1,11,25,21,45,42,59,18,40,19,47,22,52,38,98,28,51,Y
12/08/2017,Saturday,08:17:07,497.1166667,1,10,36,22,44,41,64,18,40,19,47,22,52,38,64,28,51,Y
13/08/2017,Sunday,08:23:42,503.7,1,9,25,21,55,38,64,17,44,18,45,22,52,35,98,27,51,Y
13/08/2017,Sunday,08:31:21,511.35,1,10,25,22,55,38,59,17,44,18,49,22,52,35,91,28,54,Y
13/08/2017,Sunday,08:38:59,518.9833333,1,10,25,23,55,39,63,16,44,18,49,21,52,36,69,27,54,Y
13/08/2017,Sunday,08:46:37,526.6166667,1,9,25,23,55,40,59,17,44,18,49,21,52,35,98,27,51,Y
13/08/2017,Sunday,08:54:16,534.2666667,1,9,25,22,51,39,59,17,44,18,45,22,52,36,69,27,51,Y
20/08/2017,Sunday,08:20:27,500.45,1,10,25,21,55,40,63,17,37,18,37,22,52,36,98,27,51,Y
20/08/2017,Sunday,08:28:07,508.1166667,1,9,25,21,55,40,59,17,44,18,45,22,52,36,91,27,54,Y
20/08/2017,Sunday,08:35:47,515.7833333,1,10,25,22,51,40,63,17,44,17,49,22,52,35,91,27,54,Y
20/08/2017,Sunday,08:43:28,523.4666667,1,10,25,22,51,39,63,17,44,18,49,22,52,36,98,26,54,Y
20/08/2017,Sunday,08:51:07,531.1166667,1,10,25,22,55,40,59,17,44,18,45,22,52,36,98,27,51,Y
20/08/2017,Sunday,08:58:45,538.75,1,10,25,23,55,40,63,17,44,18,45,22,53,37,98,29,54,Y
27/08/2017,Sunday,08:15:58,495.9666667,1,9,37,21,45,39,64,16,37,18,46,21,52,36,69,27,51,Y
27/08/2017,Sunday,08:26:54,506.9,1,9,26,21,56,39,64,16,44,18,46,22,52,36,69,27,54,Y
27/08/2017,Sunday,08:34:33,514.55,1,10,26,22,51,38,54,16,44,18,50,21,52,37,91,27,54,Y
27/08/2017,Sunday,08:42:12,522.2,1,10,26,22,52,39,63,16,44,18,50,22,52,38,63,26,54,Y
27/08/2017,Sunday,08:49:51,529.85,1,10,26,24,56,38,59,17,44,18,50,22,52,38,96,28,51,Y
27/08/2017,Sunday,08:57:30,537.5,1,11,26,23,56,39,64,17,44,18,46,22,53,37,58,28,54,Y
03/09/2017,Sunday,08:40:14,520.2333333,1,9,26,22,56,40,63,17,46,18,52,22,52,37,63,28,54,Y
03/09/2017,Sunday,08:48:16,528.2666667,1,10,26,22,56,41,59,17,46,18,48,22,52,37,63,29,51,Y
03/09/2017,Sunday,08:56:01,536.0166667,1,11,26,22,51,40,59,17,46,18,48,21,52,37,58,27,54,Y
