date,Monday,actual time,to_minutes,slot,car1,bus1,car2,bus2,car3,bus3,car4,bus4,car5,bus5,car6,bus6,car7,bus7,car8,bus8,Holiday
07/08/2107,Monday,17:04:43,1024.7166666667,10,17,25,28,55,74,64,23,48,21,47,44,53,45,98,35,51,N
07/08/2107,Monday,17:12:25,1032.4166666667,10,16,27,28,45,72,63,25,46,21,52,42,53,47,82,40,51,N
07/08/2107,Monday,17:20:08,1040.1333333333,10,18,25,29,45,75,59,30,40,22,47,39,53,50,76,39,51,N
07/08/2107,Monday,17:27:50,1047.8333333333,10,15,25,28,51,78,59,34,40,22,52,40,52,50,70,35,59,N
07/08/2107,Monday,17:35:31,1055.5166666667,10,15,25,29,55,80,63,38,46,22,52,39,53,50,70,35,51,N
07/08/2107,Monday,17:46:16,1066.2666666667,10,14,25,28,55,78,64,43,46,22,52,40,52,51,80,35,51,N
07/08/2107,Monday,17:53:58,1073.9666666667,10,15,25,27,55,77,59,41,40,23,47,45,53,51,80,38,51,N
14/08/2017,Monday,17:05:55,1025.9166666667,10,16,25,29,55,73,64,23,44,22,45,35,53,44,98,35,51,N
14/08/2017,Monday,17:13:34,1033.5666666667,10,16,27,31,45,73,63,28,37,22,49,38,53,45,82,35,51,N
14/08/2017,Monday,17:21:15,1041.25,10,16,25,30,45,72,59,32,37,22,47,39,53,44,70,35,51,N
14/08/2017,Monday,17:28:55,1048.9166666667,10,15,25,32,51,73,59,32,37,22,45,41,52,45,70,36,59,N
14/08/2017,Monday,17:36:34,1056.5666666667,10,14,25,31,55,79,63,34,44,23,49,46,53,45,70,36,51,N
14/08/2017,Monday,17:44:14,1064.2333333333,10,14,25,35,55,75,64,36,44,24,49,44,52,46,83,37,51,N
14/08/2017,Monday,17:51:52,1071.8666666667,10,15,25,33,50,73,59,37,44,24,45,41,52,45,80,39,51,N
14/08/2017,Monday,17:59:33,1079.55,10,15,25,31,55,75,59,35,37,23,45,41,52,45,80,38,59,N
21/08/2017,Monday,17:02:12,1022.2,10,17,25,29,55,60,64,24,44,21,45,39,52,46,98,34,57,N
21/08/2017,Monday,17:09:52,1029.8666666667,10,16,25,31,51,62,64,26,44,22,45,40,52,45,98,36,51,N
21/08/2017,Monday,17:17:32,1037.5333333333,10,17,27,30,45,63,63,33,37,23,49,44,53,45,76,35,51,N
21/08/2017,Monday,17:25:13,1045.2166666667,10,16,25,30,55,69,59,38,37,22,45,44,53,45,70,36,56,N
21/08/2017,Monday,17:32:54,1052.9,10,16,25,30,55,67,66,41,36,23,49,51,52,44,70,35,51,N
21/08/2017,Monday,17:40:35,1060.5833333333,10,14,25,29,55,70,63,41,44,24,49,50,52,45,70,36,51,N
21/08/2017,Monday,17:48:15,1068.25,10,16,25,29,51,72,64,47,44,23,49,52,52,46,80,36,51,N
21/08/2017,Monday,17:55:55,1075.9166666667,10,17,25,30,55,71,59,44,37,25,45,51,53,46,80,37,59,N
28/08/2017,Monday,17:01:13,1021.2166666667,10,22,26,32,52,68,64,24,46,23,48,33,52,47,96,38,57,N
28/08/2017,Monday,17:08:53,1028.8833333333,10,23,26,33,51,72,64,28,46,22,52,37,52,49,96,38,51,N
28/08/2017,Monday,17:16:33,1036.55,10,20,28,31,45,71,63,40,40,22,52,39,53,49,62,37,51,N
28/08/2017,Monday,17:24:13,1044.2166666667,10,21,26,32,56,70,59,40,40,24,48,43,53,48,62,39,51,N
28/08/2017,Monday,17:31:52,1051.8666666667,10,22,26,34,51,74,66,43,40,23,52,41,52,48,64,38,51,N
28/08/2017,Monday,17:39:31,1059.5166666667,10,22,26,35,56,73,63,44,46,22,52,41,52,49,64,37,51,N
28/08/2017,Monday,17:47:13,1067.2166666667,10,21,26,32,51,71,64,42,46,24,52,41,52,50,64,42,51,N
28/08/2017,Monday,17:54:54,1074.9,10,21,26,32,56,70,59,43,40,23,48,49,53,49,59,40,59,N
11/09/2017,Monday,17:07:28,1027.4666666667,10,15,26,30,51,62,69,24,44,22,46,46,53,48,96,33,51,N
11/09/2017,Monday,17:15:07,1035.1166666667,10,17,28,29,45,66,69,30,37,23,50,48,53,50,62,34,51,N
11/09/2017,Monday,17:22:47,1042.7833333333,10,15,26,30,48,60,58,34,37,23,46,46,53,51,62,35,51,N
11/09/2017,Monday,17:30:27,1050.45,10,13,26,31,51,62,69,42,37,24,50,54,52,50,64,34,59,N
11/09/2017,Monday,17:38:08,1058.1333333333,10,14,26,31,56,67,69,37,44,24,50,51,52,51,64,35,51,N
11/09/2017,Monday,17:45:50,1065.8333333333,10,15,21,30,56,66,70,37,44,24,50,58,52,50,64,42,51,N
11/09/2017,Monday,17:53:32,1073.5333333333,10,14,26,32,56,66,64,44,37,24,46,52,53,51,59,37,51,N
08/08/2017,Tuesday,17:07:31,1027.5166666667,10,14,25,30,51,66,64,25,48,21,47,40,53,46,98,34,51,N
08/08/2017,Tuesday,17:15:11,1035.1833333333,10,16,27,30,45,67,63,29,40,21,52,44,53,46,81,36,51,N
08/08/2017,Tuesday,17:22:50,1042.8333333333,10,15,25,29,47,66,59,37,40,22,47,45,53,51,70,40,51,N
08/08/2017,Tuesday,17:30:29,1050.4833333333,10,17,25,31,51,63,67,39,40,22,52,48,52,50,70,42,59,N
08/08/2017,Tuesday,17:39:04,1059.0666666667,10,16,25,32,55,66,63,35,46,23,52,52,52,51,70,41,51,N
08/08/2017,Tuesday,17:46:43,1066.7166666667,10,16,25,30,51,66,63,42,46,23,52,55,52,48,80,37,51,N
