date,Actual Time,to_minutes,slot,car1,car2,car3,car4,car5,car6,car7,car8,Holiday
18:42:37,09:04:11,544.1833333,2,19,41,108,34,58,43,67,42,N
18:42:37,09:09:25,549.4166667,2,19,42,108,34,60,41,67,42,N
18:42:37,09:14:34,554.5666667,2,20,43,109,35,61,42,69,43,N
18:42:37,09:19:41,559.6833333,2,20,44,111,35,61,41,69,44,N
18:42:37,09:24:50,564.8333333,2,21,45,111,35,61,40,70,44,N
18:42:37,09:29:58,569.9666667,2,21,46,98,34,61,40,70,44,N
18:42:37,09:35:06,575.1,2,21,46,110,35,60,39,70,44,N
18:42:37,09:41:14,581.2333333,2,21,47,111,36,60,39,71,46,N
18:42:37,09:46:22,586.3666667,2,21,47,100,36,62,38,72,46,N
18:42:37,09:51:29,591.4833333,2,22,48,109,36,61,38,73,46,N
18:42:37,09:56:32,596.5333333,2,23,49,109,36,61,55,73,46,N
25:42:37,09:01:02,541.0333333,2,18,40,109,34,56,54,67,42,N
25:42:37,09:07:11,547.1833333,2,19,41,108,35,57,42,67,42,N
25:42:37,09:13:27,553.45,2,20,42,109,35,60,42,68,43,N
25:42:37,09:19:39,559.65,2,20,44,111,35,61,41,70,44,N
25:42:37,09:25:49,565.8166667,2,21,45,112,35,60,40,70,44,N
25:42:37,09:31:59,571.9833333,2,21,46,112,35,60,39,71,44,N
25:42:37,09:38:08,578.1333333,2,21,47,112,36,59,39,70,45,N
25:42:37,09:44:20,584.3333333,2,21,47,112,37,59,39,71,46,N
25:42:37,09:50:29,590.4833333,2,22,48,112,36,60,38,73,47,N
25:42:37,09:56:39,596.65,2,23,49,109,37,59,38,74,46,N
26:42:37,09:06:03,546.05,2,19,40,108,35,62,44,69,43,N
26:42:37,09:12:13,552.2166667,2,19,41,111,36,63,42,67,43,N
26:42:37,09:18:25,558.4166667,2,20,43,110,36,63,41,66,44,N
27:42:37,09:01:11,541.1833333,2,18,40,106,37,62,44,65,43,N
27:42:37,09:07:21,547.35,2,18,41,108,38,62,41,66,43,N
27:42:37,09:13:32,553.5333333,2,19,42,108,38,63,41,65,46,N
27:42:37,09:19:44,559.7333333,2,19,43,108,38,63,39,66,46,N
27:42:37,09:26:00,566,2,20,43,97,39,64,39,66,47,N
27:42:37,09:32:09,572.15,2,21,45,111,39,64,38,68,47,N
27:42:37,09:38:20,578.3333333,2,21,46,111,39,63,38,71,49,N
27:42:37,09:44:31,584.5166667,2,21,45,99,38,64,38,71,49,N
27:42:37,09:50:42,590.7,2,22,46,97,38,64,39,71,49,N
