date,day,actual time,to_minutes,slot,car1,bus1 ,car2,bus2,car3,bus3,car4,bus4,car5,bus5,car6,bus6,car7,bus7,car8,bus8,holiday
25/08/2017,Friday,15:01:45,901.75,8,11,26,28,56,48,63,19,37,20,50,30,53,46,76,30,51,Y
25/08/2017,Friday,15:09:24,909.4,8,11,26,25,51,52,59,19,44,20,50,29,52,46,76,30,51,Y
25/08/2017,Friday,15:17:09,917.15,8,11,26,26,55,52,63,19,37,20,50,28,52,46,76,30,51,Y
25/08/2017,Friday,15:24:49,924.8166667,8,12,26,26,56,52,63,19,37,19,46,28,52,47,64,30,58,Y
25/08/2017,Friday,15:32:29,932.4833333,8,13,26,25,48,54,55,19,37,20,46,30,52,44,64,31,61,Y
25/08/2017,Friday,15:40:09,940.15,8,14,26,25,56,59,59,18,44,20,50,30,53,44,54,32,63,Y
05/09/2017,Tuesday,15:02:02,902.0333333,8,10,26,28,56,46,63,23,40,22,52,33,53,44,76,55,51,Y
05/09/2017,Tuesday,15:09:47,909.7833333,8,11,26,28,51,46,59,21,46,21,52,32,52,43,76,53,51,Y
05/09/2017,Tuesday,15:17:33,917.55,8,10,26,28,53,47,63,20,39,20,52,30,52,43,76,51,51,Y
05/09/2017,Tuesday,15:25:21,925.35,8,12,26,27,56,45,63,20,40,20,48,30,52,42,64,53,58,Y
05/09/2017,Tuesday,15:33:06,933.1,8,11,26,26,48,46,55,20,46,19,48,32,52,42,64,55,61,Y
05/09/2017,Tuesday,15:40:53,940.8833333,8,11,21,27,56,46,59,20,46,19,52,31,53,42,54,56,63,Y
05/09/2017,Tuesday,15:48:39,948.65,8,12,26,28,51,49,55,21,40,19,52,30,52,43,54,51,62,Y
15/08/2017,Tuesday,15:00:58,900.9666667,8,12,25,25,52,54,63,19,37,20,49,23,53,36,75,31,51,Y
15/08/2017,Tuesday,15:08:38,908.6333333,8,11,25,25,51,53,59,19,44,19,49,23,52,36,75,31,51,Y
15/08/2017,Tuesday,15:16:20,916.3333333,8,11,25,24,55,55,63,19,37,19,49,23,52,35,75,32,51,Y
15/08/2017,Tuesday,15:23:59,923.9833333,8,11,25,24,55,60,63,19,37,19,45,23,52,36,70,32,51,Y
15/08/2017,Tuesday,15:31:38,931.6333333,8,12,25,25,50,55,55,19,37,20,45,24,52,36,74,31,58,Y
15/08/2017,Tuesday,15:39:16,939.2666667,8,11,25,24,55,58,59,19,44,19,45,24,53,37,70,31,61,Y
15/08/2017,Tuesday,15:46:56,946.9333333,8,11,25,25,51,62,59,19,37,20,49,24,52,37,70,32,62,Y
15/08/2017,Tuesday,15:54:35,954.5833333,8,11,25,25,55,66,64,19,44,20,49,23,52,37,70,30,64,Y
12/08/2017,Saturday,15:01:28,901.4666667,8,17,25,29,52,68,63,21,40,22,52,37,53,39,75,36,51,Y
12/08/2017,Saturday,15:09:14,909.2333333,8,19,25,29,51,64,59,21,46,21,52,37,52,40,75,35,51,Y
12/08/2017,Saturday,15:16:55,916.9166667,8,13,25,29,55,66,63,21,39,21,52,35,52,39,75,37,51,Y
12/08/2017,Saturday,15:24:37,924.6166667,8,13,25,29,55,71,63,21,40,21,47,33,52,40,70,37,51,Y
12/08/2017,Saturday,15:32:17,932.2833333,8,14,25,28,47,71,55,21,40,21,47,31,52,39,74,36,61,Y
12/08/2017,Saturday,15:40:00,940,8,15,25,28,55,76,59,21,46,21,52,33,53,40,70,38,61,Y
12/08/2017,Saturday,15:47:43,947.7166667,8,14,25,30,51,76,59,22,40,21,52,33,52,40,70,37,62,Y
12/08/2017,Saturday,15:55:29,955.4833333,8,14,25,29,55,72,64,23,46,21,52,34,52,40,70,42,64,Y
13/08/2017,Sunday,15:03:19,903.3166667,8,11,25,26,55,45,63,20,38,21,52,24,52,37,75,31,51,Y
13/08/2017,Sunday,15:11:00,911,8,11,25,25,51,50,59,20,46,20,52,24,52,36,75,33,51,Y
13/08/2017,Sunday,15:18:44,918.7333333,8,11,25,25,52,49,63,21,39,20,47,24,52,35,75,32,51,Y
13/08/2017,Sunday,15:26:25,926.4166667,8,11,25,25,55,47,63,20,40,20,47,24,52,36,70,33,58,Y
13/08/2017,Sunday,15:34:03,934.05,8,11,25,24,47,49,59,21,46,20,47,25,52,37,72,34,61,Y
13/08/2017,Sunday,15:41:43,941.7166667,8,10,21,25,55,50,59,21,46,21,52,25,53,38,70,33,63,Y
13/08/2017,Sunday,15:49:24,949.4,8,11,25,24,51,52,64,21,40,21,52,25,52,38,70,31,62,Y
13/08/2017,Sunday,15:57:04,957.0666667,8,11,21,25,55,52,64,21,46,21,52,25,52,40,70,34,64,Y
20/08/2017,Sunday,15:02:21,902.35,8,12,25,24,55,47,63,19,37,21,49,26,53,35,75,30,51,Y
20/08/2017,Sunday,15:10:03,910.05,8,12,25,25,51,46,59,19,44,20,49,26,52,35,75,30,51,Y
20/08/2017,Sunday,15:17:45,917.75,8,12,25,24,52,45,63,20,37,21,49,25,52,36,75,30,51,Y
20/08/2017,Sunday,15:25:27,925.45,8,12,25,24,55,47,63,20,37,21,45,25,52,36,70,30,58,Y
